symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
6526.TSE,Socionext Inc.,Japan,Semiconductors,3479,1482,36,"35,489,281",JPY,[],
5838.TSE,Rakuten Bank Ltd.,Japan,Diversified Banks,2842,793,175,"174,482,380",JPY,[],
5253.TSE,COVER Corporation,Japan,Movies and Entertainment,997,154,60,"61,124,200",JPY,[entertainment-100],
5027.TSE,AnyMind Group Inc.,Japan,Application Software,341,188,58,"57,938,600",JPY,[tech-100],
7163.TSE,SBI Sumishin Net Bank Ltd.,Japan,Diversified Banks,1636,638,151,"150,793,800",JPY,[],
5461.TSE,Chubu Steel Plate Co. Ltd.,Japan,Steel,400,514,28,"30,200,000",JPY,[],
9336.TSE,Daiei Kankyo Co. Ltd.,Japan,Environmental and Facilities Services,1407,477,100,"99,892,900",JPY,[],
9348.TSE,ispace inc.,Japan,Aerospace and Defense,769,7,82,"81,985,840",JPY,[],
9347.TSE,NIPPON KANZAI Holdings Co.Ltd.,Japan,Environmental and Facilities Services,641,796,37,"41,180,306",JPY,[],
9204.TSE,Skymark Airlines Inc.,Japan,Passenger Airlines,440,599,60,"60,329,400",JPY,[consumer-50],
2936.TSE,BASE FOOD Inc.,Japan,Packaged Foods and Meats,275,81,53,"52,505,900",JPY,[],
7388.TSE,FP Partner Inc.,Japan,Insurance Brokers,512,200,23,"23,000,000",JPY,[],
9161.TSE,Integrated Design & Engineering HoldingsCo.Ltd.,Japan,Construction and Engineering,365,979,15,"15,079,625",JPY,[],
9338.TSE,Inforich Inc.,Japan,Specialized Consumer Services,259,0,9,"9,312,900",JPY,[],
420770.KQ,GigaVis Co. Ltd.,South Korea,Semiconductor Materials and Equipment,666,94,13,"12,675,758",KRW,[tech-100,semiconductors-25]
088980.KO,Macquarie Korea Infrastructure Fund,South Korea,Investment Banking and Brokerage,3927,279,436,"435,781,355",KRW,[],
204270.KQ,JNTC Co. Ltd.,South Korea,Electronic Components,435,144,57,"57,848,466",KRW,[tech-100],
460860.KO,Dongkuk Steel Mill Company Limited,South Korea,Steel,408,-,50,"49,608,017",KRW,[],
270520.KQ,Geolit Energy Co.Ltd.,South Korea,Building Products,317,14,42,"41,762,506",KRW,[],
403870.KQ,HPSP Co. Ltd.,South Korea,Semiconductor Materials and Equipment,1806,150,81,"81,159,000",KRW,[tech-100,semiconductors-25]
328130.KQ,Lunit Inc.,South Korea,Health Care Technology,1640,19,12,"12,381,004",KRW,[],
293490.KQ,Kakao Games Corp.,South Korea,Interactive Home Entertainment,1534,807,82,"82,503,602",KRW,[consumer-50],
393890.KQ,W-Scope Chungju Plant Co. Ltd.,South Korea,Electrical Components and Equipment,1293,221,34,"33,696,518",KRW,[],
383310.KQ,Ecopro Hn. Co. Ltd.,South Korea,Environmental and Facilities Services,801,202,15,"15,304,932",KRW,[],
348370.KQ,Enchem Co. Ltd.,South Korea,Commodity Chemicals,686,421,16,"16,268,221",KRW,[],
299030.KQ,Hana Technology Co. Ltd.,South Korea,Industrial Machinery and Supplies and Components,649,92,8,"8,132,489",KRW,[],
178920.KO,PI Advanced Materials Co. Ltd.,South Korea,Commodity Chemicals,590,172,29,"29,366,322",KRW,[],
