name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Taiwan Semiconductor Manufacturing Company Limited ,2330.TW,Taiwan,Semiconductors,421196,71486,25932
Samsung Electronics Co. Ltd. ,005930.KO,South Korea,Technology Hardware Storage and Peripherals,334447,205756,6793
Toyota Motor Corporation ,7203.TSE,Japan,Automobile Manufacturers,244976,271190,13522
Mitsubishi UFJ Financial Group Inc. ,8306.TSE,Japan,Diversified Banks,104451,41081,12024
Nippon Telegraph and Telephone Corporation ,9432.TSE,Japan,Integrated Telecommunication Services,102204,91146,85235
Sony Group Corporation ,6758.TSE,Japan,Consumer Electronics,100937,84889,1233
Keyence Corporation ,6861.TSE,Japan,Electronic Equipment and Instruments,89905,6739,243
LG Energy Solution Ltd. ,373220.KO,South Korea,Electrical Components and Equipment,82288,25592,234
Mitsubishi Corporation ,8058.TSE,Japan,Trading Companies and Distributors,67833,144304,1397
Sumitomo Mitsui Financial Group Inc. ,8316.TSE,Japan,Diversified Banks,66953,24998,1334
Fast Retailing Co. Ltd. ,9983.TSE,Japan,Apparel Retail,66785,19178,307
KDDI Corporation ,9433.TSE,Japan,Wireless Telecommunication Services,66107,39096,2157
Tokyo Electron Limited ,8035.TSE,Japan,Semiconductor Materials and Equipment,61766,14712,463
SoftBank Group Corp. ,9984.TSE,Japan,Wireless Telecommunication Services,61731,45343,1464
Hitachi Ltd. ,6501.TSE,Japan,Industrial Conglomerates,59975,73547,929
SK hynix Inc. ,000660.KO,South Korea,Semiconductors,58243,23574,688
Shin-Etsu Chemical Co. Ltd. ,4063.TSE,Japan,Specialty Chemicals,58056,19029,2008
Honda Motor Co. Ltd. ,7267.TSE,Japan,Automobile Manufacturers,56832,122441,4905
Mitsui & Co. Ltd. ,8031.TSE,Japan,Trading Companies and Distributors,54188,94996,1462
SoftBank Corp. ,9434.TSE,Japan,Wireless Telecommunication Services,54098,41357,4736
ITOCHU Corporation ,8001.TSE,Japan,Trading Companies and Distributors,53926,96249,1453
Oriental Land Co. Ltd. ,4661.TSE,Japan,Leisure Facilities,53794,3635,1638
Daiichi Sankyo Company Limited ,4568.TSE,Japan,Pharmaceuticals,53773,9330,1917
Chugai Pharmaceutical Co. Ltd. ,4519.TSE,Japan,Pharmaceuticals,50857,8600,1645
DENSO Corporation ,6902.TSE,Japan,Automotive Parts and Equipment,50215,46334,2995
Recruit Holdings Co. Ltd. ,6098.TSE,Japan,Human Resource and Employment Services,48633,23773,1582
Takeda Pharmaceutical Company Limited ,4502.TSE,Japan,Pharmaceuticals,48626,28451,1555
Nintendo Co. Ltd. ,7974.TSE,Japan,Interactive Home Entertainment,47952,12142,1164
Tokio Marine Holdings Inc. ,8766.TSE,Japan,Property and Casualty Insurance,47038,47154,1983
Daikin IndustriesLtd. ,6367.TSE,Japan,Building Products,45948,28416,293
Mizuho Financial Group Inc. ,8411.TSE,Japan,Diversified Banks,44098,19131,2535
Hon Hai Precision Industry Co. Ltd. ,2317.TW,Taiwan,Electronic Manufacturing Services,42526,207790,13167
Japan Tobacco Inc. ,2914.TSE,Japan,Tobacco,41202,19254,1775
MediaTek Inc. ,2454.TW,Taiwan,Semiconductors,36333,14250,1592
HOYA Corporation ,7741.TSE,Japan,Health Care Supplies,35788,5019,352
Samsung Biologics Co.Ltd. ,207940.KO,South Korea,Life Sciences Tools and Services,35771,2601,71
Seven & i Holdings Co. Ltd. ,3382.TSE,Japan,Food Retail,35268,85992,883
Murata Manufacturing Co. Ltd. ,6981.TSE,Japan,Electronic Components,33960,11190,1889
JAPAN POST BANK Co. Ltd. ,7182.TSE,Japan,Diversified Banks,32139,11226,3616
Hyundai Motor Company ,005380.KO,South Korea,Automobile Manufacturers,30313,118639,225
POSCO Holdings Inc. ,005490.KO,South Korea,Steel,29958,60668,76
SMC Corporation ,6273.TSE,Japan,Industrial Machinery and Supplies and Components,28820,5619,65
Quanta Computer Inc. ,2382.TW,Taiwan,Technology Hardware Storage and Peripherals,28670,39122,3855
Chunghwa Telecom Co. Ltd. ,2412.TW,Taiwan,Integrated Telecommunication Services,27946,7080,7757
LG Chem Ltd. ,051910.KO,South Korea,Commodity Chemicals,27635,43321,78
Japan Post Holdings Co. Ltd. ,6178.TSE,Japan,Life and Health Insurance,27449,77556,3358
Bridgestone Corporation ,5108.TSE,Japan,Tires and Rubber,27148,29916,685
Panasonic Holdings Corporation ,6752.TSE,Japan,Consumer Electronics,27131,58338,2334
Marubeni Corporation ,8002.TSE,Japan,Trading Companies and Distributors,27024,57405,1683
Komatsu Ltd. ,6301.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,26454,25447,946
Renesas Electronics Corporation ,6723.TSE,Japan,Semiconductors,26402,10416,1765
Mitsubishi Electric Corporation ,6503.TSE,Japan,Heavy Electrical Equipment,26293,35663,2101
Nidec Corporation ,6594.TSE,Japan,Electrical Components and Equipment,26271,15690,575
Delta Electronics Inc. ,2308.TW,Taiwan,Electronic Components,26177,13004,2598
Sumitomo Corporation ,8053.TSE,Japan,Trading Companies and Distributors,25195,47543,1222
Astellas Pharma Inc. ,4503.TSE,Japan,Pharmaceuticals,25080,10456,1793
Samsung SDI Co. Ltd. ,006400.KO,South Korea,Electronic Components,24984,17106,67
Toyota Industries Corporation ,6201.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,24746,24274,311
Fanuc Corporation ,6954.TSE,Japan,Industrial Machinery and Supplies and Components,24671,5825,953
Fubon Financial Holding Co. Ltd. ,2881.TW,Taiwan,Life and Health Insurance,24535,21715,13015
Central Japan Railway Company ,9022.TSE,Japan,Rail Transportation,24237,10278,984
Canon Inc. ,7751.TSE,Japan,Technology Hardware Storage and Peripherals,24025,28670,979
Formosa Petrochemical Corporation ,6505.TW,Taiwan,Oil and Gas Refining and Marketing,23845,24616,9526
Kia Corporation ,000270.KO,South Korea,Automobile Manufacturers,23734,73086,395
FUJIFILM Holdings Corporation ,4901.TSE,Japan,Technology Hardware Storage and Peripherals,23234,20016,401
Fujitsu Limited ,6702.TSE,Japan,IT Consulting and Other Services,22685,25553,188
Nippon Steel Corporation ,5401.TSE,Japan,Steel,22440,57103,921
NAVER Corporation ,035420.KO,South Korea,Interactive Media and Services,22359,6847,150
ORIX Corporation ,8591.TSE,Japan,Diversified Financial Services,21996,18574,1163
East Japan Railway Company ,9020.TSE,Japan,Rail Transportation,21668,17135,377
Unicharm Corporation ,8113.TSE,Japan,Household Products,21043,6435,590
Toyota Tsusho Corporation ,8015.TSE,Japan,Trading Companies and Distributors,20992,69258,352
Mitsui Fudosan Co. Ltd. ,8801.TSE,Japan,Diversified Real Estate Activities,20781,15588,934
Posco Future M Co. Ltd. ,003670.KO,South Korea,Electrical Components and Equipment,20537,3160,77
Z Holdings Corporation ,4689.TSE,Japan,Interactive Media and Services,20482,11843,7498
Dai-ichi Life Holdings Inc. ,8750.TSE,Japan,Life and Health Insurance,20407,65153,983
Inpex Corporation ,1605.TSE,Japan,Oil and Gas Exploration and Production,20312,15942,1306
Cathay Financial Holding Co. Ltd. ,2882.TW,Taiwan,Life and Health Insurance,20296,20965,14669
MS&AD Insurance Group Holdings Inc. ,8725.TSE,Japan,Property and Casualty Insurance,20148,41014,530
Advantest Corporation ,6857.TSE,Japan,Semiconductor Materials and Equipment,20061,3635,738
Ajinomoto Co. Inc. ,2802.TSE,Japan,Packaged Foods and Meats,19743,9524,520
Terumo Corporation ,4543.TSE,Japan,Health Care Equipment,19584,5797,745
Suzuki Motor Corporation ,7269.TSE,Japan,Automobile Manufacturers,19563,33110,482
Otsuka Holdings Co. Ltd. ,4578.TSE,Japan,Pharmaceuticals,19387,12942,543
Disco Corporation ,6146.TSE,Japan,Semiconductor Materials and Equipment,19354,1925,108
Mitsubishi Heavy Industries Ltd. ,7011.TSE,Japan,Industrial Machinery and Supplies and Components,19110,29847,336
Asahi Group Holdings Ltd. ,2502.TSE,Japan,Brewers,19064,18071,507
NTT DATA Group Corporation ,9613.TSE,Japan,IT Consulting and Other Services,18904,26474,1402
Ecopro BM. Co. Ltd. ,247540.KQ,South Korea,Electrical Components and Equipment,18234,5638,98
Nissan Motor Co. Ltd. ,7201.TSE,Japan,Automobile Manufacturers,17871,78688,3915
Kyocera Corporation ,6971.TSE,Japan,Electronic Components,17773,13921,353
Daiwa House Industry Co. Ltd. ,1925.TSE,Japan,Diversified Real Estate Activities,17739,35377,657
Kubota Corporation ,6326.TSE,Japan,Agricultural and Farm Machinery,17606,20323,1177
United Microelectronics Corporation ,2303.TW,Taiwan,Semiconductors,17551,8141,12503
Ecopro Co. Ltd. ,086520.KQ,South Korea,Commodity Chemicals,17520,5929,26
Kao Corporation ,4452.TSE,Japan,Personal Care Products,17398,10760,465
Aeon Co. Ltd. ,8267.TSE,Japan,Consumer Staples Merchandise Retail,17181,66122,855
Mitsubishi Estate Co. Ltd. ,8802.TSE,Japan,Diversified Real Estate Activities,16733,9440,1277
Mega Financial Holding Co. Ltd. ,2886.TW,Taiwan,Diversified Banks,16452,1926,14051
Nan Ya Plastics Corporation ,1303.TW,Taiwan,Commodity Chemicals,16404,9236,7931
Olympus Corporation ,7733.TSE,Japan,Health Care Equipment,16229,6056,1228
Hyundai Mobis Co.Ltd ,012330.KO,South Korea,Automotive Parts and Equipment,16171,44524,91
Nippon Paint Holdings Co. Ltd. ,4612.TSE,Japan,Specialty Chemicals,16046,9544,2349
Eisai Co. Ltd. ,4523.TSE,Japan,Pharmaceuticals,15991,5236,287
Nomura Research Institute Ltd. ,4307.TSE,Japan,IT Consulting and Other Services,15861,4851,588
Formosa Plastics Corporation ,1301.TW,Taiwan,Commodity Chemicals,15776,6653,6366
KB Financial Group Inc. ,105560.KO,South Korea,Diversified Banks,15682,10710,384
NEXON Co. Ltd. ,3659.TSE,Japan,Interactive Home Entertainment,14990,2746,854
CTBC Financial Holding Co. Ltd. ,2891.TW,Taiwan,Diversified Banks,14901,10435,19584
Subaru Corporation ,7270.TSE,Japan,Automobile Manufacturers,14852,27821,758
Sompo Holdings Inc. ,8630.TSE,Japan,Property and Casualty Insurance,14722,32775,329
NEC Corporation ,6701.TSE,Japan,IT Consulting and Other Services,14654,23238,267
ASE Technology Holding Co. Ltd. ,3711.TW,Taiwan,Semiconductors,14634,20315,4303
Celltrion Inc. ,068270.KO,South Korea,Biotechnology,14615,1729,142
SECOM CO. LTD. ,9735.TSE,Japan,Security and Alarm Services,14584,7748,213
Kakao Corp. ,035720.KO,South Korea,Interactive Media and Services,14197,5630,438
Lasertec Corporation ,6920.TSE,Japan,Semiconductor Materials and Equipment,14092,1057,90
