name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Airoha Technology Corp. ,6526.TWO,Taiwan,Semiconductors,2571,458,146
STARLUX Airlines Co. Ltd. ,2646.TWO,Taiwan,Passenger Airlines,1524,405,2089
FADU Inc. ,440110.KQ,South Korea,Semiconductors,1271,48,49
Ricoh Leasing Company Ltd. ,8566.TSE,Japan,Specialized Finance,922,2075,31
West Holdings Corporation ,1407.TSE,Japan,Renewable Electricity,881,323,41
Max Co. Ltd. ,6454.TSE,Japan,Industrial Machinery and Supplies and Components,878,589,47
Caliway Biopharmaceuticals Co. Ltd. ,6919.TWO,Taiwan,Pharmaceuticals,869,1,62
ISU Specialty Chemical Co. Ltd. ,457190.KO,South Korea,Specialty Chemicals,862,-,6
Chong Kun Dang Pharmaceutical Corp. ,185750.KO,South Korea,Pharmaceuticals,841,1171,12
Toyo Ink SC Holdings Co. Ltd. ,4634.TSE,Japan,Specialty Chemicals,839,2178,53
Okaya & Co. Ltd. ,7485.NSE,Japan,Steel,792,7199,10
AAEON Technology Inc. ,6579.TW,Taiwan,Technology Hardware Storage and Peripherals,774,266,160
Cathay No.1 REIT (01002.TW),01002.TW,Taiwan,Diversified REITs,772,25,1393
Shin Kong No. 1 REIT (01003.TW),01003.TW,Taiwan,Diversified REITs,764,25,1130
Medigen Vaccine Biologics Corporation ,6547.TWO,Taiwan,Biotechnology,742,1,328
Grand Korea Leisure Co. Ltd. ,114090.KO,South Korea,Casinos and Gaming,742,286,62
Shinfox Energy Co. Ltd. ,6806.TW,Taiwan,Renewable Electricity,742,176,216
Seegene Inc. ,096530.KQ,South Korea,Biotechnology,740,341,47
NAGAWA Co. Ltd. ,9663.TSE,Japan,Homebuilding,734,220,16
Tokyo Electron Device Limited ,2760.TSE,Japan,Technology Distributors,732,1720,30
WinWay Technology Co. Ltd. ,6515.TW,Taiwan,Semiconductor Materials and Equipment,732,170,35
Mercuries Life Insurance Company Ltd. ,2867.TW,Taiwan,Life and Health Insurance,731,2618,4600
San-Ai Obbli Co. Ltd. ,8097.TSE,Japan,Oil and Gas Refining and Marketing,725,4454,66
Gloria Material Technology Corp. ,5009.TWO,Taiwan,Steel,725,434,514
Hana Materials Inc. ,166090.KQ,South Korea,Semiconductor Materials and Equipment,725,244,20
Nohmi Bosai Ltd. ,6744.TSE,Japan,Electronic Equipment and Instruments,723,739,60
TKP Corporation ,3479.TSE,Japan,Real Estate Operating Companies,720,332,42
BML Inc. ,4694.TSE,Japan,Health Care Services,719,1067,39
Shin-Etsu Polymer Co.Ltd. ,7970.TSE,Japan,Commodity Chemicals,719,758,81
Quanta Storage Inc. ,6188.TWO,Taiwan,Technology Hardware Storage and Peripherals,718,366,278
Foosung Co. Ltd. ,093370.KO,South Korea,Commodity Chemicals,712,452,94
Nippon Light Metal Holdings Company Ltd. ,5703.TSE,Japan,Aluminum,711,3570,62
Systena Corporation ,2317.TSE,Japan,Application Software,708,523,387
Mitsubishi Pencil Co. Ltd. ,7976.TSE,Japan,Office Services and Supplies,708,494,54
Roland Corporation ,7944.TSE,Japan,Leisure Products,708,684,25
EIZO Corporation ,6737.TSE,Japan,Technology Hardware Storage and Peripherals,707,564,21
Kinpo Electronics Inc. ,2312.TW,Taiwan,Technology Hardware Storage and Peripherals,706,5730,1477
HAESUNG DS Co. Ltd. ,195870.KO,South Korea,Semiconductor Materials and Equipment,705,604,17
Bengo4.comInc. ,6027.TSE,Japan,Interactive Media and Services,703,63,22
ECOVE Environment Corp. ,6803.TWO,Taiwan,Environmental and Facilities Services,700,242,71
Ryosan Company Limited ,8140.TSE,Japan,Technology Distributors,698,2240,23
Century Wind Power Co. Ltd. ,2072.TWO,Taiwan,Construction and Engineering,697,121,120
Depo Auto Parts Industrial Co. Ltd. ,6605.TW,Taiwan,Automotive Parts and Equipment,690,578,166
HLB Life Science Co. Ltd. ,067630.KQ,South Korea,Health Care Distributors,689,91,102
Showa Sangyo Co. Ltd. ,2004.TSE,Japan,Packaged Foods and Meats,689,2380,33
Delpha Construction Co.Ltd. ,2530.TW,Taiwan,Real Estate Operating Companies,687,50,840
Totetsu Kogyo Co. Ltd. ,1835.TSE,Japan,Construction and Engineering,687,882,34
Sakai Moving Service Co.Ltd. ,9039.TSE,Japan,Cargo Ground Transportation,687,768,41
Continental Holdings Corporation ,3703.TW,Taiwan,Construction and Engineering,685,919,823
Wah Lee Industrial Corporation ,3010.TW,Taiwan,Technology Distributors,682,2126,236
Lake Materials Co. Ltd. ,281740.KQ,South Korea,Commodity Chemicals,682,98,66
Daishin Securities Co.Ltd ,003540.KO,South Korea,Investment Banking and Brokerage,681,2065,66
TOWA Corporation ,6315.TSE,Japan,Semiconductor Materials and Equipment,679,337,25
ORION Holdings Corp. ,001800.KO,South Korea,Packaged Foods and Meats,678,2303,60
Jeisys Medical Inc. ,287410.KQ,South Korea,Health Care Equipment,678,95,76
AfreecaTV Co. Ltd. ,067160.KQ,South Korea,Interactive Media and Services,677,244,11
The Kiyo Bank Ltd. ,8370.TSE,Japan,Regional Banks,676,509,65
Lian Hwa Foods Corporation ,1231.TW,Taiwan,Packaged Foods and Meats,676,353,247
Tri Chemical Laboratories Inc. ,4369.TSE,Japan,Semiconductor Materials and Equipment,676,91,33
Raito Kogyo Co. Ltd. ,1926.TSE,Japan,Construction and Engineering,675,808,49
Advanced Echem Materials Company Limited ,4749.TWO,Taiwan,Semiconductors,675,81,81
Gongwin Biopharm Holdings Co. Ltd. ,6617.TWO,Taiwan,Biotechnology,672,0,113
GREE Inc. ,3632.TSE,Japan,Interactive Home Entertainment,671,522,171
Handa Pharmaceuticals Inc. ,6620.TWO,Taiwan,Pharmaceuticals,670,23,140
OCI Company Ltd. ,456040.KO,South Korea,Diversified Chemicals,669,-,7
Shibaura Machine Co.Ltd. ,6104.TSE,Japan,Industrial Machinery and Supplies and Components,669,909,24
