symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
6526.TWO,Airoha Technology Corp. ,Taiwan,Semiconductors,2571,458,146,0,TWD,"[]"
2646.TWO,STARLUX Airlines Co. Ltd. ,Taiwan,Passenger Airlines,1524,405,2089,0,TWD,"[consumer-50]"
440110.KQ,FADU Inc. ,South Korea,Semiconductors,1271,48,49,0,KRW,"[]"
6919.TWO,Caliway Biopharmaceuticals Co. Ltd. ,Taiwan,Pharmaceuticals,869,1,62,0,TWD,"[]"
01002T.TW,Cathay No.1 REIT,Taiwan,Diversified REITs,772,25,1393,0,TWD,"[]"
01003T.TW,Shin Kong No. 1 REIT,Taiwan,Diversified REITs,764,25,1130,0,TWD,"[]"
2072.TWO,Century Wind Power Co. Ltd. ,Taiwan,Construction and Engineering,697,121,120,0,TWD,"[]"
4749.TWO,Advanced Echem Materials Company Limited ,Taiwan,Semiconductors,675,81,81,0,TWD,"[]"
6617.TWO,Gongwin Biopharm Holdings Co. Ltd. ,Taiwan,Biotechnology,672,0,113,0,TWD,"[]"
6620.TWO,Handa Pharmaceuticals Inc. ,Taiwan,Pharmaceuticals,670,23,140,0,TWD,"[]"
6958.TWO,Infinite Finance Co. Ltd. ,Taiwan,Specialized Finance,584,214,351,0,TWD,"[]"
6805.TWO,Fositek Corp. ,Taiwan,Electronic Components,580,148,61,0,TWD,"[tech-100]"
9164.TSE,TRYT Inc. ,Japan,Human Resource and Employment Services,541,341,103,0,JPY,"[]"
9166.TSE,GENDA Inc. ,Japan,Leisure Facilities,536,354,34,0,JPY,"[consumer-50]"
01010T.TW,King's Town Millerful No.1 Real Estate Investment Trust,Taiwan,Diversified REITs,515,30,1658,0,TWD,"[]"
378340.KQ,Philenergy Co. Ltd. ,South Korea,Electrical Components and Equipment,504,179,21,0,KRW,"[]"
9158.TSE,CUC Inc. ,Japan,Health Care Services,479,226,30,0,JPY,"[]"
6586.TWO,CHO Pharma Inc. ,Taiwan,Pharmaceuticals,467,0,184,0,TWD,"[]"
6712.TWO,Ever Supreme Bio Technology Co. Ltd ,Taiwan,Biotechnology,466,20,75,0,TWD,"[]"
5859.TWO,Farglory Life Insurance Co. Ltd. ,Taiwan,Life and Health Insurance,465,1840,1255,0,TWD,"[]"
358570.KQ,GI Innovation Inc. ,South Korea,Biotechnology,431,3,22,0,KRW,"[]"
8359.TWO,Cashbox Partyworld Co. Ltd. ,Taiwan,Movies and Entertainment,421,121,137,0,TWD,"[entertainment-100]"
6757.TW,Tigerair Taiwan Co. Ltd. ,Taiwan,Passenger Airlines,420,208,449,0,TWD,"[consumer-50]"
