symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
2330.TW,Taiwan Semiconductor Manufacturing Company Limited ,Taiwan,Semiconductors,421196,71486,25932,25932099584,TWD,"[]"
005930.KO,Samsung Electronics Co. Ltd. ,South Korea,Technology Hardware Storage and Peripherals,334447,205756,6793,5969780224,KRW,"[]"
7203.TSE,Toyota Motor Corporation ,Japan,Automobile Manufacturers,244976,271190,13522,13522100224,JPY,"[]"
8306.TSE,Mitsubishi UFJ Financial Group Inc. ,Japan,Diversified Banks,104451,41081,12024,12024200192,JPY,"[]"
9432.TSE,Nippon Telegraph and Telephone Corporation ,Japan,Integrated Telecommunication Services,102204,91146,85235,85123497984,JPY,"[]"
6758.TSE,Sony Group Corporation ,Japan,Consumer Electronics,100937,84889,1233,1233250048,JPY,"[consumer-50]"
6861.TSE,Keyence Corporation ,Japan,Electronic Equipment and Instruments,89905,6739,243,242526000,JPY,"[tech-100]"
373220.KO,LG Energy Solution Ltd. ,South Korea,Electrical Components and Equipment,82288,25592,234,234000000,KRW,"[]"
8058.TSE,Mitsubishi Corporation ,Japan,Trading Companies and Distributors,67833,144304,1397,1404120064,JPY,"[]"
8316.TSE,Sumitomo Mitsui Financial Group Inc. ,Japan,Diversified Banks,66953,24998,1334,1333629952,JPY,"[]"
9983.TSE,Fast Retailing Co. Ltd. ,Japan,Apparel Retail,66785,19178,307,306652000,JPY,"[consumer-50]"
9433.TSE,KDDI Corporation ,Japan,Wireless Telecommunication Services,66107,39096,2157,2157370112,JPY,"[]"
8035.TSE,Tokyo Electron Limited ,Japan,Semiconductor Materials and Equipment,61766,14712,463,464271008,JPY,"[tech-100,semiconductors-25]"
9984.TSE,SoftBank Group Corp. ,Japan,Wireless Telecommunication Services,61731,45343,1464,1465549952,JPY,"[]"
6501.TSE,Hitachi Ltd. ,Japan,Industrial Conglomerates,59975,73547,929,928851968,JPY,"[]"
000660.KO,SK hynix Inc. ,South Korea,Semiconductors,58243,23574,688,708243008,KRW,"[]"
4063.TSE,Shin-Etsu Chemical Co. Ltd. ,Japan,Specialty Chemicals,58056,19029,2008,2007840000,JPY,"[]"
7267.TSE,Honda Motor Co. Ltd. ,Japan,Automobile Manufacturers,56832,122441,4905,4908149760,JPY,"[]"
8031.TSE,Mitsui & Co. Ltd. ,Japan,Trading Companies and Distributors,54188,94996,1462,1511440000,JPY,"[]"
9434.TSE,SoftBank Corp. ,Japan,Wireless Telecommunication Services,54098,41357,4736,4735810048,JPY,"[]"
8001.TSE,ITOCHU Corporation ,Japan,Trading Companies and Distributors,53926,96249,1453,1454669952,JPY,"[]"
4661.TSE,Oriental Land Co. Ltd. ,Japan,Leisure Facilities,53794,3635,1638,1638089984,JPY,"[consumer-50]"
4568.TSE,Daiichi Sankyo Company Limited ,Japan,Pharmaceuticals,53773,9330,1917,1917340032,JPY,"[]"
4519.TSE,Chugai Pharmaceutical Co. Ltd. ,Japan,Pharmaceuticals,50857,8600,1645,1644320000,JPY,"[]"
6902.TSE,DENSO Corporation ,Japan,Automotive Parts and Equipment,50215,46334,2995,2995520000,JPY,"[]"
6098.TSE,Recruit Holdings Co. Ltd. ,Japan,Human Resource and Employment Services,48633,23773,1582,1566429952,JPY,"[]"
4502.TSE,Takeda Pharmaceutical Company Limited ,Japan,Pharmaceuticals,48626,28451,1555,1554589952,JPY,"[]"
7974.TSE,Nintendo Co. Ltd. ,Japan,Interactive Home Entertainment,47952,12142,1164,1164230016,JPY,"[consumer-50]"
8766.TSE,Tokio Marine Holdings Inc. ,Japan,Property and Casualty Insurance,47038,47154,1983,1978569984,JPY,"[]"
6367.TSE,Daikin IndustriesLtd. ,Japan,Building Products,45948,28416,293,292724992,JPY,"[]"
8411.TSE,Mizuho Financial Group Inc. ,Japan,Diversified Banks,44098,19131,2535,2534789888,JPY,"[]"
2317.TW,Hon Hai Precision Industry Co. Ltd. ,Taiwan,Electronic Manufacturing Services,42526,207790,13167,13861499904,TWD,"[tech-100]"
2914.TSE,Japan Tobacco Inc. ,Japan,Tobacco,41202,19254,1775,1774850048,JPY,"[consumer-50]"
2454.TW,MediaTek Inc. ,Taiwan,Semiconductors,36333,14250,1592,1591709952,TWD,"[]"
7741.TSE,HOYA Corporation ,Japan,Health Care Supplies,35788,5019,352,352152992,JPY,"[]"
207940.KO,Samsung Biologics Co.Ltd. ,South Korea,Life Sciences Tools and Services,35771,2601,71,71174000,KRW,"[]"
3382.TSE,Seven & i Holdings Co. Ltd. ,Japan,Food Retail,35268,85992,883,883225024,JPY,"[consumer-50]"
6981.TSE,Murata Manufacturing Co. Ltd. ,Japan,Electronic Components,33960,11190,1889,1889170048,JPY,"[tech-100]"
7182.TSE,JAPAN POST BANK Co. Ltd. ,Japan,Diversified Banks,32139,11226,3616,3617530112,JPY,"[]"
005380.KO,Hyundai Motor Company ,South Korea,Automobile Manufacturers,30313,118639,225,202876000,KRW,"[]"
005490.KO,POSCO Holdings Inc. ,South Korea,Steel,29958,60668,76,75876200,KRW,"[]"
6273.TSE,SMC Corporation ,Japan,Industrial Machinery and Supplies and Components,28820,5619,65,64500600,JPY,"[]"
2382.TW,Quanta Computer Inc. ,Taiwan,Technology Hardware Storage and Peripherals,28670,39122,3855,3854520064,TWD,"[]"
2412.TW,Chunghwa Telecom Co. Ltd. ,Taiwan,Integrated Telecommunication Services,27946,7080,7757,7757450240,TWD,"[]"
051910.KO,LG Chem Ltd. ,South Korea,Commodity Chemicals,27635,43321,78,70592304,KRW,"[]"
6178.TSE,Japan Post Holdings Co. Ltd. ,Japan,Life and Health Insurance,27449,77556,3358,3339209984,JPY,"[]"
5108.TSE,Bridgestone Corporation ,Japan,Tires and Rubber,27148,29916,685,684353024,JPY,"[]"
6752.TSE,Panasonic Holdings Corporation ,Japan,Consumer Electronics,27131,58338,2334,2334309888,JPY,"[consumer-50]"
8002.TSE,Marubeni Corporation ,Japan,Trading Companies and Distributors,27024,57405,1683,1683170048,JPY,"[]"
6301.TSE,Komatsu Ltd. ,Japan,Construction Machinery and Heavy Transportation Equipment,26454,25447,946,945953984,JPY,"[]"
6723.TSE,Renesas Electronics Corporation ,Japan,Semiconductors,26402,10416,1765,1765200000,JPY,"[]"
6503.TSE,Mitsubishi Electric Corporation ,Japan,Heavy Electrical Equipment,26293,35663,2101,2102850048,JPY,"[]"
6594.TSE,Nidec Corporation ,Japan,Electrical Components and Equipment,26271,15690,575,575072000,JPY,"[]"
2308.TW,Delta Electronics Inc. ,Taiwan,Electronic Components,26177,13004,2598,2597540096,TWD,"[tech-100]"
8053.TSE,Sumitomo Corporation ,Japan,Trading Companies and Distributors,25195,47543,1222,1221580032,JPY,"[]"
4503.TSE,Astellas Pharma Inc. ,Japan,Pharmaceuticals,25080,10456,1793,1796760064,JPY,"[]"
006400.KO,Samsung SDI Co. Ltd. ,South Korea,Electronic Components,24984,17106,67,65433100,KRW,"[tech-100]"
6201.TSE,Toyota Industries Corporation ,Japan,Construction Machinery and Heavy Transportation Equipment,24746,24274,311,310479008,JPY,"[]"
6954.TSE,Fanuc Corporation ,Japan,Industrial Machinery and Supplies and Components,24671,5825,953,952977984,JPY,"[]"
2881.TW,Fubon Financial Holding Co. Ltd. ,Taiwan,Life and Health Insurance,24535,21715,13015,13015000064,TWD,"[]"
9022.TSE,Central Japan Railway Company ,Japan,Rail Transportation,24237,10278,984,983996032,JPY,"[]"
7751.TSE,Canon Inc. ,Japan,Technology Hardware Storage and Peripherals,24025,28670,979,987801024,JPY,"[]"
6505.TW,Formosa Petrochemical Corporation ,Taiwan,Oil and Gas Refining and Marketing,23845,24616,9526,9525959680,TWD,"[]"
000270.KO,Kia Corporation ,South Korea,Automobile Manufacturers,23734,73086,395,395081984,KRW,"[]"
4901.TSE,FUJIFILM Holdings Corporation ,Japan,Technology Hardware Storage and Peripherals,23234,20016,401,401097984,JPY,"[]"
6702.TSE,Fujitsu Limited ,Japan,IT Consulting and Other Services,22685,25553,188,188447008,JPY,"[]"
5401.TSE,Nippon Steel Corporation ,Japan,Steel,22440,57103,921,920840000,JPY,"[]"
035420.KO,NAVER Corporation ,South Korea,Interactive Media and Services,22359,6847,150,150564000,KRW,"[consumer-50,entertainment-100]"
8591.TSE,ORIX Corporation ,Japan,Diversified Financial Services,21996,18574,1163,1162989952,JPY,"[]"
9020.TSE,East Japan Railway Company ,Japan,Rail Transportation,21668,17135,377,376639008,JPY,"[]"
8113.TSE,Unicharm Corporation ,Japan,Household Products,21043,6435,590,590345024,JPY,"[consumer-50]"
8015.TSE,Toyota Tsusho Corporation ,Japan,Trading Companies and Distributors,20992,69258,352,351864992,JPY,"[]"
8801.TSE,Mitsui Fudosan Co. Ltd. ,Japan,Diversified Real Estate Activities,20781,15588,934,933502976,JPY,"[]"
003670.KO,Posco Future M Co. Ltd. ,South Korea,Electrical Components and Equipment,20537,3160,77,77419504,KRW,"[]"
4689.TSE,Z Holdings Corporation ,Japan,Interactive Media and Services,20482,11843,7498,7531740160,JPY,"[consumer-50,entertainment-100]"
8750.TSE,Dai-ichi Life Holdings Inc. ,Japan,Life and Health Insurance,20407,65153,983,983360000,JPY,"[]"
1605.TSE,Inpex Corporation ,Japan,Oil and Gas Exploration and Production,20312,15942,1306,1297280000,JPY,"[]"
2882.TW,Cathay Financial Holding Co. Ltd. ,Taiwan,Life and Health Insurance,20296,20965,14669,14669200384,TWD,"[]"
8725.TSE,MS&AD Insurance Group Holdings Inc. ,Japan,Property and Casualty Insurance,20148,41014,530,532164000,JPY,"[]"
6857.TSE,Advantest Corporation ,Japan,Semiconductor Materials and Equipment,20061,3635,738,736856000,JPY,"[tech-100,semiconductors-25]"
2802.TSE,Ajinomoto Co. Inc. ,Japan,Packaged Foods and Meats,19743,9524,520,520132000,JPY,"[]"
4543.TSE,Terumo Corporation ,Japan,Health Care Equipment,19584,5797,745,744702976,JPY,"[]"
7269.TSE,Suzuki Motor Corporation ,Japan,Automobile Manufacturers,19563,33110,482,482848992,JPY,"[]"
4578.TSE,Otsuka Holdings Co. Ltd. ,Japan,Pharmaceuticals,19387,12942,543,542633984,JPY,"[]"
6146.TSE,Disco Corporation ,Japan,Semiconductor Materials and Equipment,19354,1925,108,108302000,JPY,"[tech-100,semiconductors-25]"
7011.TSE,Mitsubishi Heavy Industries Ltd. ,Japan,Industrial Machinery and Supplies and Components,19110,29847,336,335704992,JPY,"[]"
2502.TSE,Asahi Group Holdings Ltd. ,Japan,Brewers,19064,18071,507,506672992,JPY,"[consumer-50]"
9613.TSE,NTT DATA Group Corporation ,Japan,IT Consulting and Other Services,18904,26474,1402,1402489984,JPY,"[]"
247540.KQ,Ecopro BM. Co. Ltd. ,South Korea,Electrical Components and Equipment,18234,5638,98,20361400,KRW,"[]"
7201.TSE,Nissan Motor Co. Ltd. ,Japan,Automobile Manufacturers,17871,78688,3915,3917360128,JPY,"[]"
6971.TSE,Kyocera Corporation ,Japan,Electronic Components,17773,13921,353,352615008,JPY,"[tech-100]"
1925.TSE,Daiwa House Industry Co. Ltd. ,Japan,Diversified Real Estate Activities,17739,35377,657,657132992,JPY,"[]"
6326.TSE,Kubota Corporation ,Japan,Agricultural and Farm Machinery,17606,20323,1177,1181069952,JPY,"[]"
2303.TW,United Microelectronics Corporation ,Taiwan,Semiconductors,17551,8141,12503,12503000064,TWD,"[]"
086520.KQ,Ecopro Co. Ltd. ,South Korea,Commodity Chemicals,17520,5929,26,22090200,KRW,"[]"
4452.TSE,Kao Corporation ,Japan,Personal Care Products,17398,10760,465,464833984,JPY,"[consumer-50]"
8267.TSE,Aeon Co. Ltd. ,Japan,Consumer Staples Merchandise Retail,17181,66122,855,854844992,JPY,"[consumer-50]"
8802.TSE,Mitsubishi Estate Co. Ltd. ,Japan,Diversified Real Estate Activities,16733,9440,1277,1276940032,JPY,"[]"
2886.TW,Mega Financial Holding Co. Ltd. ,Taiwan,Diversified Banks,16452,1926,14051,14051300352,TWD,"[]"
1303.TW,Nan Ya Plastics Corporation ,Taiwan,Commodity Chemicals,16404,9236,7931,7930820096,TWD,"[]"
7733.TSE,Olympus Corporation ,Japan,Health Care Equipment,16229,6056,1228,1231090048,JPY,"[]"
012330.KO,Hyundai Mobis Co.Ltd ,South Korea,Automotive Parts and Equipment,16171,44524,91,91110200,KRW,"[]"
4612.TSE,Nippon Paint Holdings Co. Ltd. ,Japan,Specialty Chemicals,16046,9544,2349,2348430080,JPY,"[]"
