symbol,name,country,industry,shares,currency,indicies
089970.KQ,Adaptive Plasma Technology Corp.,South Korea,Semiconductor Materials and Equipment,"23,980,595",KRW,"[""tech-100"",""semiconductors-25""]"
8086.TWO,Advanced Wireless Semiconductor Company,Taiwan,Semiconductor Materials and Equipment,"196,516,000",TWD,"[""tech-100"",""semiconductors-25""]"
6548.TWO,Chang Wah Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,"950,539,008",TWD,"[""tech-100"",""semiconductors-25""]"
079810.KQ,DE&T Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"22,009,994",KRW,"[""tech-100"",""semiconductors-25""]"
084370.KQ,Eugene Technology Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"22,916,042",KRW,"[""tech-100"",""semiconductors-25""]"
6890.TSE,Ferrotec Holdings Corporation,Japan,Semiconductor Materials and Equipment,"46,967,400",JPY,"[""tech-100"",""semiconductors-25""]"
036810.KQ,Fine Semitech Corp.,South Korea,Semiconductor Materials and Equipment,"21,756,789",KRW,"[""tech-100"",""semiconductors-25""]"
3413.TW,Foxsemicon Integrated Technology Inc.,Taiwan,Semiconductor Materials and Equipment,"97,160,000",TWD,"[""tech-100"",""semiconductors-25""]"
082270.KQ,GemVax&KAEL Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"39,994,174",KRW,"[""tech-100"",""semiconductors-25""]"
420770.KQ,GigaVis Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"12,675,758",KRW,"[""tech-100"",""semiconductors-25""]"
3131.TWO,Grand Process Technology Corporation,Taiwan,Semiconductor Materials and Equipment,"28,521,000",TWD,"[""tech-100"",""semiconductors-25""]"
3680.TWO,Gudeng Precision Industrial Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,"85,369,000",TWD,"[""tech-100"",""semiconductors-25""]"
195870.KO,HAESUNG DS Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"17,000,000",KRW,"[""tech-100"",""semiconductors-25""]"
166090.KQ,Hana Materials Inc.,South Korea,Semiconductor Materials and Equipment,"19,752,674",KRW,"[""tech-100"",""semiconductors-25""]"
042700.KO,HANMI Semiconductor Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"97,339,302",KRW,"[""tech-100"",""semiconductors-25""]"
297890.KQ,HB SOLUTION Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"69,202,637",KRW,"[""tech-100"",""semiconductors-25""]"
403870.KQ,HPSP Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"81,159,000",KRW,"[""tech-100"",""semiconductors-25""]"
272290.KQ,INNOX Advanced Materials Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"20,201,658",KRW,"[""tech-100"",""semiconductors-25""]"
064290.KQ,INTEKPLUS Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"12,780,962",KRW,"[""tech-100"",""semiconductors-25""]"
095340.KQ,ISC Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"17,399,471",KRW,"[""tech-100"",""semiconductors-25""]"
6055.TSE,JAPAN MATERIAL Co. Ltd.,Japan,Semiconductor Materials and Equipment,"102,652,000",JPY,"[""tech-100"",""semiconductors-25""]"
5285.TW,Jih Lin Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,"102,041,000",TWD,"[""tech-100"",""semiconductors-25""]"
036930.KQ,JUSUNG ENGINEERING Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"48,249,212",KRW,"[""tech-100"",""semiconductors-25""]"
281820.KO,KCTech Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"20,861,556",KRW,"[""tech-100"",""semiconductors-25""]"
3189.TW,Kinsus Interconnect Technology Corp.,Taiwan,Semiconductor Materials and Equipment,"454,475,008",TWD,"[""tech-100"",""semiconductors-25""]"
183300.KQ,KoMiCo Ltd.,South Korea,Semiconductor Materials and Equipment,"10,460,684",KRW,"[""tech-100"",""semiconductors-25""]"
3081.TWO,LandMark Optoelectronics Corporation,Taiwan,Semiconductor Materials and Equipment,"91,862,000",TWD,"[""tech-100"",""semiconductors-25""]"
083310.KQ,LOT VACUUM Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"17,810,033",KRW,"[""tech-100"",""semiconductors-25""]"
3563.TW,Machvision Inc.,Taiwan,Semiconductor Materials and Equipment,"44,728,200",TWD,"[""tech-100"",""semiconductors-25""]"
6196.TW,Marketech International Corp.,Taiwan,Semiconductor Materials and Equipment,"196,124,992",TWD,"[""tech-100"",""semiconductors-25""]"
3587.TWO,Materials Analysis Technology Inc.,Taiwan,Semiconductor Materials and Equipment,"62,487,600",TWD,"[""tech-100"",""semiconductors-25""]"
6871.TSE,Micronics Japan Co. Ltd.,Japan,Semiconductor Materials and Equipment,"38,544,100",JPY,"[""tech-100"",""semiconductors-25""]"
8155.TSE,Mimasu Semiconductor Industry Co. Ltd.,Japan,Semiconductor Materials and Equipment,"32,124,600",JPY,"[""tech-100"",""semiconductors-25""]"
6223.TWO,MPI Corporation,Taiwan,Semiconductor Materials and Equipment,"94,231,104",TWD,"[""tech-100"",""semiconductors-25""]"
348210.KQ,NEXTIN Inc.,South Korea,Semiconductor Materials and Equipment,"10,196,878",KRW,"[""tech-100"",""semiconductors-25""]"
6235.TSE,Optorun Co.Ltd.,Japan,Semiconductor Materials and Equipment,"43,520,800",JPY,"[""tech-100"",""semiconductors-25""]"
053610.KQ,Protec Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"11,000,000",KRW,"[""tech-100"",""semiconductors-25""]"
031980.KQ,PSK HOLDINGS Inc.,South Korea,Semiconductor Materials and Equipment,"21,562,395",KRW,"[""tech-100"",""semiconductors-25""]"
319660.KQ,PSK Inc.,South Korea,Semiconductor Materials and Equipment,"28,966,714",KRW,"[""tech-100"",""semiconductors-25""]"
6323.TSE,Rorze Corporation,Japan,Semiconductor Materials and Equipment,"17,281,300",JPY,"[""tech-100"",""semiconductors-25""]"
7735.TSE,SCREEN Holdings Co. Ltd.,Japan,Semiconductor Materials and Equipment,"95,137,000",JPY,"[""tech-100"",""semiconductors-25""]"
2351.TW,SDI Corporation,Taiwan,Semiconductor Materials and Equipment,"182,140,000",TWD,"[""tech-100"",""semiconductors-25""]"
6590.TSE,Shibaura Mechatronics Corporation,Japan,Semiconductor Materials and Equipment,"13,273,300",JPY,"[""tech-100"",""semiconductors-25""]"
011930.KO,Shinsung E&G Co.Ltd.,South Korea,Semiconductor Materials and Equipment,"205,848,151",KRW,"[""tech-100"",""semiconductors-25""]"
222800.KQ,SIMMTECH Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"31,854,143",KRW,"[""tech-100"",""semiconductors-25""]"
6937.TWO,Skytech Inc.,Taiwan,Semiconductor Materials and Equipment,"60,677,263",TWD,"[""tech-100"",""semiconductors-25""]"
039440.KQ,STI Co. Ltd.,South Korea,Semiconductor Materials and Equipment,"15,830,000",KRW,"[""tech-100"",""semiconductors-25""]"
3436.TSE,Sumco Corporation,Japan,Semiconductor Materials and Equipment,"350,167,008",JPY,"[""tech-100"",""semiconductors-25""]"
2338.TW,Taiwan Mask Corporation,Taiwan,Semiconductor Materials and Equipment,"212,654,000",TWD,"[""tech-100"",""semiconductors-25""]"
6826.TWO,Taiwan Puritic Corp.,Taiwan,Semiconductor Materials and Equipment,"60,800,000",TWD,"[""tech-100"",""semiconductors-25""]"
