symbol,name,country,industry,shares,currency,indicies
5287.TWO,ADDCN Technology Co. Ltd,Taiwan,Interactive Media and Services,55874300,TWD,"[""consumer-50"",""entertainment-100""]"
6027.TSE,Bengo4.comInc.,Japan,Interactive Media and Services,22267400,JPY,"[""consumer-50"",""entertainment-100""]"
119860.KQ,Connectwave Co. Ltd.,South Korea,Interactive Media and Services,46747183,KRW,"[""consumer-50"",""entertainment-100""]"
4676.TSE,Fuji Media Holdings Inc.,Japan,Broadcasting,222411008,JPY,"[""consumer-50"",""entertainment-100""]"
3491.TSE,GA technologies Co. Ltd.,Japan,Interactive Media and Services,36745800,JPY,"[""consumer-50"",""entertainment-100""]"
4449.TSE,giftee Inc.,Japan,Interactive Media and Services,29235100,JPY,"[""consumer-50"",""entertainment-100""]"
4348.TSE,Infocom Corporation,Japan,Interactive Media and Services,54791900,JPY,"[""consumer-50"",""entertainment-100""]"
2371.TSE,Kakaku.com Inc.,Japan,Interactive Media and Services,201104000,JPY,"[""consumer-50"",""entertainment-100""]"
3901.TSE,MarkLines Co. Ltd.,Japan,Interactive Media and Services,13214800,JPY,"[""consumer-50"",""entertainment-100""]"
9401.TSE,TBS HoldingsInc.,Japan,Broadcasting,165155008,JPY,"[""consumer-50"",""entertainment-100""]"
9409.TSE,TV Asahi Holdings Corporation,Japan,Broadcasting,101603000,JPY,"[""consumer-50"",""entertainment-100""]"
9413.TSE,TV TOKYO Holdings Corporation,Japan,Broadcasting,27048400,JPY,"[""consumer-50"",""entertainment-100""]"
3679.TSE,ZIGExN Co. Ltd.,Japan,Interactive Media and Services,104002000,JPY,"[""consumer-50"",""entertainment-100""]"
089970.KQ,Adaptive Plasma Technology Corp.,South Korea,Semiconductor Materials and Equipment,23980595,KRW,"[""tech-100"",""semiconductors-25""]"
8086.TWO,Advanced Wireless Semiconductor Company,Taiwan,Semiconductor Materials and Equipment,196516000,TWD,"[""tech-100"",""semiconductors-25""]"
6548.TWO,Chang Wah Technology Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,950539008,TWD,"[""tech-100"",""semiconductors-25""]"
079810.KQ,DE&T Co. Ltd.,South Korea,Semiconductor Materials and Equipment,22009994,KRW,"[""tech-100"",""semiconductors-25""]"
084370.KQ,Eugene Technology Co.Ltd.,South Korea,Semiconductor Materials and Equipment,22916042,KRW,"[""tech-100"",""semiconductors-25""]"
6890.TSE,Ferrotec Holdings Corporation,Japan,Semiconductor Materials and Equipment,46967400,JPY,"[""tech-100"",""semiconductors-25""]"
036810.KQ,Fine Semitech Corp.,South Korea,Semiconductor Materials and Equipment,21756789,KRW,"[""tech-100"",""semiconductors-25""]"
3413.TW,Foxsemicon Integrated Technology Inc.,Taiwan,Semiconductor Materials and Equipment,97160000,TWD,"[""tech-100"",""semiconductors-25""]"
082270.KQ,GemVax&KAEL Co.Ltd.,South Korea,Semiconductor Materials and Equipment,39994174,KRW,"[""tech-100"",""semiconductors-25""]"
420770.KQ,GigaVis Co. Ltd.,South Korea,Semiconductor Materials and Equipment,12675758,KRW,"[""tech-100"",""semiconductors-25""]"
3131.TWO,Grand Process Technology Corporation,Taiwan,Semiconductor Materials and Equipment,28521000,TWD,"[""tech-100"",""semiconductors-25""]"
3680.TWO,Gudeng Precision Industrial Co. Ltd.,Taiwan,Semiconductor Materials and Equipment,85369000,TWD,"[""tech-100"",""semiconductors-25""]"
195870.KO,HAESUNG DS Co. Ltd.,South Korea,Semiconductor Materials and Equipment,17000000,KRW,"[""tech-100"",""semiconductors-25""]"
166090.KQ,Hana Materials Inc.,South Korea,Semiconductor Materials and Equipment,19752674,KRW,"[""tech-100"",""semiconductors-25""]"
