date,KRW,JPY,TWD,index,share_price_usd,SONY,7832.TSE,6460.TSE,4816.TSE,9468.TSE,9404.TSE,3791.TSE,3686.TSE
2023-06-30,1316.3,144.335,31.153,1,28.8585051442824,90.04,3321,3072,13260,3440,1369,3885,310
2023-07-01,1316.3,144.335,31.153,1,28.8585051442824,90.04,3321,3072,13260,3440,1369,3885,310
2023-07-02,1316.3,144.335,31.153,1,28.8585051442824,90.04,3321,3072,13260,3440,1369,3885,310
2023-07-03,1304.655,144.68,31.102,1.0039511122821336,28.972528338401993,91.55,3330,3120,13200,3540,1383,3800,299
2023-07-04,1294.805,144.455,31.085,1.0017223760479008,28.908210342321134,91.55,3279,3105,13200,3548,1378.5,3735,289
2023-07-05,1304,144.65,31.221,0.9912088035165542,28.60480435534048,91.43,3265,3101,13100,3486,1366.5,3550,283
2023-07-06,1309.39,144.075,31.289,0.9760438900145645,28.167167621030714,90.49,3221,3036,12860,3454,1351.5,3350,272
2023-07-07,1298.365,142.085,31.274,0.9871916479490471,28.488875250730196,91.04,3161,3009,12900,3426,1338,3445,264
2023-07-08,1298.365,142.085,31.274,0.9871916479490471,28.488875250730196,91.04,3161,3009,12900,3426,1338,3445,264
2023-07-09,1298.365,142.085,31.274,0.9871916479490471,28.488875250730196,91.04,3161,3009,12900,3426,1338,3445,264
2023-07-10,1299.805,141.315,31.356,0.9833162507346245,28.377037080281642,90.73,3110,2985.5,12850,3390,1339,3350,255
2023-07-11,1291.87,140.385,31.318,0.9764544527994937,28.179015849271646,89.64,3113,2989,12730,3354,1317,3220,252
2023-07-12,1274.795,138.505,31.151,0.9847693481900808,28.41897130067507,91.24,3132,3036,12510,3366,1320.5,3105,255
2023-07-13,1267.155,138.045,30.943,1.0091189453696143,29.121664276141843,93.81,3187,3029,12860,3409,1321,3180,265
2023-07-14,1269.305,138.745,30.965,0.9992736611789621,28.837544091678986,92.39,3210,3018,12740,3420,1326,3220,258
2023-07-15,1269.305,138.745,30.965,0.9992736611789621,28.837544091678986,92.39,3210,3018,12740,3420,1326,3220,258
2023-07-16,1269.305,138.745,30.965,0.9992736611789621,28.837544091678986,92.39,3210,3018,12740,3420,1326,3220,258
2023-07-17,1263.72,138.73,31.03,1.0034360066079426,28.9576631586535,93.57,3210,3018,12740,3420,1326,3220,258
2023-07-18,1265.32,138.825,31.0005,1.0093337846818804,29.12786421754007,95.1,3213,3036,12840,3440,1336.5,3115,254
2023-07-19,1267.94,139.685,31.105,1.0145495645570288,29.278383827898487,94.57,3223,3093,13090,3490,1360.5,3175,256
2023-07-20,1277.53,140.08,31.1575,0.9996033640448193,28.847058823529412,93.25,3169,3080,12950,3449,1366.5,3070,262
2023-07-21,1286.645,141.805,31.337,0.976574569813813,28.182482246747295,93.39,3158,3074,12370,3441,1339,3085,254
2023-07-22,1286.645,141.805,31.337,0.976574569813813,28.182482246747295,93.39,3158,3074,12370,3441,1339,3085,254
2023-07-23,1286.645,141.805,31.337,0.976574569813813,28.182482246747295,93.39,3158,3074,12370,3441,1339,3085,254
2023-07-24,1280.875,141.455,31.343,0.9741039544572807,28.111183980771266,93.66,3145,3078,12240,3443,1347,3010,253
2023-07-25,1276.585,140.905,31.273,0.9755137263334835,28.15186788971293,93.69,3120,3028,12270,3438,1350,3005,255
2023-07-26,1271.415,140.225,31.213,0.9792880451593088,28.260789088964167,93.74,3099,3030,12410,3427,1350,2912,256
2023-07-27,1284.165,139.455,31.32,0.986822401629341,28.47821935391345,93.76,3206,3095,12310,3491,1355,2922,260
2023-07-28,1273.28,141.165,31.3685,0.9784497547120304,28.236597279778984,93.47,3156,3029,12470,3483,1340.5,2933,254
2023-07-29,1273.28,141.165,31.3685,0.9784497547120304,28.236597279778984,93.47,3156,3029,12470,3483,1340.5,2933,254
2023-07-30,1273.28,141.165,31.3685,0.9784497547120304,28.236597279778984,93.47,3156,3029,12470,3483,1340.5,2933,254
2023-07-31,1278.28,142.295,31.448,0.9922950448610792,28.63615165676939,93.6,3214,3108,12880,3521,1349,3100,257
2023-08-01,1289.425,143.335,31.613,0.9852663133779235,28.43331297310496,93.49,3222,3184,12720,3442,1372.5,3155,259
2023-08-02,1299.47,143.325,31.638,0.9824632670219434,28.352421245421247,91.07,3150,3013,13190,3388,1366.5,3220,256
2023-08-03,1300.215,142.555,31.677,0.9738931660867343,28.105100943495493,90.03,3121,3056,12760,3396,1346,3300,252
2023-08-04,1309.36,142.4,31.696,0.9559493648404407,27.58726966292135,90.03,3106,2989,12470,3206,1334,3095,264
