no,code,name,industry_code,industry,shares,capital_stock,par_value
276,20,DONGWHA PHARM,32102,Manufacture of Medicaments,27931470,27931470000,1000
70,40,KR MOTORS,33109,Manufacture of Other Transport Equipment,96138465,48069232500,500
151,50,KYUNGBANG,74701,Retail Sale in Non-Specialized Stores,27415270,13707635000,500
380,70,Samyang Holdings,116409,Other Financial Intermediation,8564271,44341645000,5000
707,80,HITE JINRO,31101,Manufacture of Alcoholic Beverages,70133611,368818745000,5000
548,100,YUHAN,32102,Manufacture of Medicaments,76638657,77819597000,1000
9,120,CJ Logistics,84903,Road Freight Transport,22812344,114061720000,5000
708,140,HITEJINRO HOLDINGS,116409,Other Financial Intermediation,23206765,118387875000,5000
277,150,DOOSAN,116409,Other Financial Intermediation,16523835,123738105000,5000
415,180,SCE Holdings,137105,Activities of Head Offices Management Consultancy Activities,69751600,36000000000,500
18,210,DL,32001,Manufacture of Basic Chemicals,20955884,138709995000,5000
546,220,Yuyu Pharma,32102,Manufacture of Medicaments,17032351,20201681000,1000
575,230,ILDONG HOLDINGS,32102,Manufacture of Medicaments,11540400,11540400000,1000
719,240,HANKOOK &amp; COMPANY,116409,Other Financial Intermediation,94935240,47467620000,500
1390,250,SCD,32102,Manufacture of Medicaments,23388529,11694264500,500
181,270,KIA CORP.,33001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,402044203,2139316735000,5000
229,300,DAYOU PLUS,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,126454909,63227454500,500
195,320,NOROO HOLDINGS,116409,Other Financial Intermediation,13291151,8529355000,500
780,370,Hanwha General Ins,116501,Insurance,116738915,583694575000,5000
397,390,SAMHWA PAINT,32004,Manufacture of Other Chemical Products,27203469,13601734500,500
295,400,Lotte Insurance,116501,Insurance,310336320,310336320000,1000
224,430,DAEWONKANGUP,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),62000000,31000000000,500
2097,440,JA Enervis,74607,Other Specialized Wholesale,6227130,3113565000,500
438,480,CR Holdings,32302,Manufacture of Refractory and Non-refractory Ceramic Products,28144832,14072416000,500
208,490,DAEDONG CORP.,32902,Manufacture of Special-Purpose Machinery,25299961,25299961000,1000
143,500,GAON CABLE CO,32803,Manufacture of Electric Lamps and Bulbs,6358926,31794630000,5000
388,520,SAMIL PHARM,32102,Manufacture of Medicaments,15226786,7613393000,500
837,540,Heungkuk F&amp;M Ins,116501,Insurance,64242645,325053225000,5000
12,590,CS HOLDINGS,116409,Other Financial Intermediation,1154482,5772410000,5000
259,640,Donga Socio Holdings,116409,Other Financial Intermediation,6348913,31744565000,5000
623,650,CHUNIL EXP,84902,Transit and Ground Passenger Transportation,1429220,7146100000,5000
128,660,SK hynix,32601,Manufacture of Semiconductor,728002365,3657652050000,5000
513,670,YOUNGPOONG,32402,Manufacture of Basic Precious and Non-ferrous Metals,1842040,9210200000,5000
86,680,LS Networks,74608,Wholesale of Non-Specialized Goods,78803016,394015080000,5000
543,700,EUSU HOLDINGS,137105,Activities of Head Offices Management Consultancy Activities,26041812,65104530000,2500
789,720,HYUNDAI ENG &amp; CONST,64102,Heavy Construction,111355765,562052290000,5000
566,760,RIFA,74607,Other Specialized Wholesale,2800000,14000000000,5000
374,810,SAMSUNG F &amp; M INS,116501,Insurance,47374837,26473418500,500
823,850,HMT,32902,Manufacture of Special-Purpose Machinery,2200000,11000000000,5000
144,860,KANGNAM JEVISCO,32004,Manufacture of Other Chemical Products,6500000,6500000000,1000
776,880,HANWHA,32004,Manufacture of Other Chemical Products,74958735,489550145000,5000
342,890,BOHAE BREW,31101,Manufacture of Alcoholic Beverages,139120129,69560064500,500
538,910,UNION,32303,Manufacture of Cement Lime and Plaster and Its Products,15611619,7805809500,500
590,950,CHONBANG,31301,Spinning of Textiles and Processing of Threads and Yarns,1680000,8400000000,5000
726,970,KOR CASTIRON PIPE,32401,Manufacture of Basic Iron and Steel,22800500,12000000000,500
16,990,DB HiTek,32601,Manufacture of Semiconductor,44398588,221992940000,5000
1514,1000,SillaTextile,74703,Retail Sale of Household Electrical Appliances and Information and Communications Equipment,24277540,2427754000,100
690,1020,PaperCorea,31701,Manufacture of Pulp Paper and Paperboard,177983313,88991656500,500
7,1040,CJ,116409,Other Financial Intermediation,29176998,179047370000,5000
55,1060,JW PHARMA,32102,Manufacture of Medicaments,22835036,58440692500,2500
232,1070,TAIHAN TEXTILE,31302,Weaving of Textiles and Manufacture of Textile Products,5300000,5300000000,1000
307,1080,MANHO ROPE &amp; WIRE,32401,Manufacture of Basic Iron and Steel,4150000,4150000000,1000
89,1120,LX INT,74601,Wholesale on a Fee or Contract Basis,38760000,193800000000,5000
237,1130,DAEHAN FLR MILL,31006,Manufacture of Grain Mill Products Starches and Starch Products,1690000,8450000000,5000
