symbol,name,country,cap_index,shares,currency
4911.TSE,Shiseido,Japan,Blue Chip,399548000,JPY
4452.TSE,Kaō,Japan,Blue Chip,464833984,JPY
4922.TSE,Kosé,Japan,Mid Cap,57050500,JPY
090430.KO,Amorepacific,South Korea,Mid Cap,58460800,KRW
4927.TSE,Pola Orbis Holdings,Japan,Mid Cap,221232000,JPY
4921.TSE,Fancl Corp.,Japan,Mid Cap,120923000,JPY
192820.KO,Cosmax,South Korea,Small Cap,11345700,KRW
PERF,Perfect Corp.,Taiwan,Small Cap,101475000,USD
4137.TW,Chlitina Holding,Taiwan,Small Cap,78989000,TWD
4917.TSE,Mandom Corp.,Japan,Small Cap,44965400,JPY
226320.KO,It's Hanbul,South Korea,Micro Cap,17616700,KRW
024720.KO,Kolmar Korea Holdings,South Korea,Micro Cap,18385600,KRW
078520.KO,Able C&C,South Korea,Micro Cap,26014200,KRW
214420.KO,Tonymoly,South Korea,Micro Cap,23902700,KRW
4747.TWO,Johnson Chemical Pharmaceutical Works,Taiwan,Micro Cap,30019000,TWD
