symbol,name,country,cap_index,shares,currency
9983.TSE,Fast Retailing,Japan,Blue Chip,306652000,JPY
5108.TSE,Bridgestone,Japan,Blue Chip,684353024,JPY
8113.TSE,Unicharm,Japan,Blue Chip,591464000,JPY
2802.TSE,Ajinomoto,Japan,Blue Chip,521760000,JPY
2502.TSE,Asahi Group,Japan,Blue Chip,506672992,JPY
4911.TSE,Shiseido,Japan,Blue Chip,399548000,JPY
4452.TSE,Kaō,Japan,Blue Chip,464833984,JPY
7309.TSE,Shimano,Japan,Blue Chip,90403696,JPY
1216.TW,Uni-President Enterprises,Taiwan,Blue Chip,5862009856,TWD
2503.TSE,Kirin Holdings,Japan,Blue Chip,811793024,JPY
2587.TSE,Suntory,Japan,Blue Chip,309000000,JPY
2801.TSE,Kikkoman,Japan,Blue Chip,191279008,JPY
2267.TSE,Yakult,Japan,Blue Chip,156070000,JPY
2897.TSE,Nissin Foods,Japan,Mid Cap,101346000,JPY
6586.TSE,Makita,Japan,Mid Cap,269343008,JPY
2269.TSE,Meiji Holdings,Japan,Mid Cap,275500992,JPY
051905.KO,LG Household & Health Care,South Korea,Mid Cap,2096260,KRW
3038.TSE,Kobe Bussan,Japan,Mid Cap,219108992,JPY
4922.TSE,Kosé,Japan,Mid Cap,57050500,JPY
2702.TSE,McDonald's Japan,Japan,Mid Cap,132959000,JPY
7936.TSE,ASICS Corporation,Japan,Mid Cap,183160000,JPY
2670.TSE,ABC-Mart,Japan,Mid Cap,82539104,JPY
090430.KO,Amorepacific,South Korea,Mid Cap,58460800,KRW
2875.TSE,Toyo Suisan,Japan,Mid Cap,102128000,JPY
383220.KO,F&F Co,South Korea,Mid Cap,38142700,KRW
271560.KO,ORION,South Korea,Mid Cap,39528800,KRW
4927.TSE,Pola Orbis Holdings,Japan,Mid Cap,221232000,JPY
161390.KO,Hankook Tire,South Korea,Mid Cap,121989000,KRW
4912.TSE,Lion Corp,Japan,Mid Cap,284232000,JPY
4921.TSE,Fancl Corp.,Japan,Mid Cap,120923000,JPY
5105.TSE,Toyo Tire,Japan,Mid Cap,153939008,JPY
2501.TSE,Sapporo,Japan,Mid Cap,78026200,JPY
004370.KO,Nongshim,South Korea,Small Cap,5782620,KRW
7956.TSE,Pigeon,Japan,Small Cap,119657000,JPY
081660.KO,Fila,South Korea,Small Cap,60095800,KRW
007310.KO,Ottogi,South Korea,Small Cap,3736500,KRW
000080.KO,HiteJinro,South Korea,Small Cap,68649400,KRW
4985.TSE,Earth Corporation,Japan,Small Cap,22127300,JPY
192820.KO,Cosmax,South Korea,Small Cap,11345700,KRW
003230.KO,Samyang Foods,South Korea,Small Cap,7458130,KRW
PERF,Perfect Corp.,Taiwan,Small Cap,101475000,USD
4137.TW,Chlitina Holding,Taiwan,Small Cap,78989000,TWD
4917.TSE,Mandom Corp.,Japan,Small Cap,44965400,JPY
2753.TW,Bafang Yunji,Taiwan,Small Cap,66345000,TWD
1301.TSE,Kyokuyo,Japan,Small Cap,10716600,JPY
226320.KO,It's Hanbul,South Korea,Micro Cap,17616700,KRW
024720.KO,Kolmar Korea Holdings,South Korea,Micro Cap,18385600,KRW
078520.KO,Able C&C,South Korea,Micro Cap,26014200,KRW
214420.KO,Tonymoly,South Korea,Micro Cap,23902700,KRW
4747.TWO,Johnson Chemical Pharmaceutical Works,Taiwan,Micro Cap,30019000,TWD
