name,country,symbol,cap
Fast Retailing,Japan,9983.TSE,Blue Chip
Bridgestone,Japan,5108.TSE,Blue Chip
Unicharm,Japan,8113.TSE,Blue Chip
Ajinomoto,Japan,2802.TSE,Blue Chip
Asahi Group,Japan,2502.TSE,Blue Chip
Shiseido,Japan,4911.TSE,Blue Chip
Kaō,Japan,4452.TSE,Blue Chip
Shimano,Japan,7309.TSE,Blue Chip
Uni-President Enterprises,Taiwan,1216.TW,Blue Chip
Kirin Holdings,Japan,2503.TSE,Blue Chip
Suntory,Japan,2587.TSE,Blue Chip
Kikkoman,Japan,2801.TSE,Blue Chip
Yakult,Japan,2267.TSE,Blue Chip
Nissin Foods,Japan,2897.TSE,Mid Cap
Makita,Japan,6586.TSE,Mid Cap
Meiji Holdings,Japan,2269.TSE,Mid Cap
LG Household & Health Care,South Korea,051905.KO,Mid Cap
Kobe Bussan,Japan,3038.TSE,Mid Cap
Kosé,Japan,4922.TSE,Mid Cap
McDonald's Japan,Japan,2702.TSE,Mid Cap
ASICS Corporation,Japan,7936.TSE,Mid Cap
ABC-Mart,Japan,2670.TSE,Mid Cap
Amorepacific,South Korea,090430.KO,Mid Cap
Toyo Suisan,Japan,2875.TSE,Mid Cap
F&F Co,South Korea,383220.KO,Mid Cap
ORION,South Korea,271560.KO,Mid Cap
Pola Orbis Holdings,Japan,4927.TSE,Mid Cap
Hankook Tire,South Korea,161390.KO,Mid Cap
Lion Corp,Japan,4912.TSE,Mid Cap
Fancl Corp.,Japan,4921.TSE,Mid Cap
Toyo Tire,Japan,5105.TSE,Mid Cap
Sapporo,Japan,2501.TSE,Mid Cap
Nongshim,South Korea,004370.KO,Small Cap
Pigeon,Japan,7956.TSE,Small Cap
Fila,South Korea,081660.KO,Small Cap
Ottogi,South Korea,007310.KO,Small Cap
HiteJinro,South Korea,000080.KO,Small Cap
Earth Corporation,Japan,4985.TSE,Small Cap
Cosmax,South Korea,192820.KO,Small Cap
Samyang Foods,South Korea,003230.KO,Small Cap
Perfect Corp.,Taiwan,PERF,Small Cap
Chlitina Holding,Taiwan,4137.TW,Small Cap
Mandom Corp.,Japan,4917.TSE,Small Cap
Bafang Yunji,Taiwan,2753.TW,Small Cap
Kyokuyo,Japan,1301.TSE,Small Cap
It's Hanbul,South Korea,226320.KO,Micro Cap
Kolmar Korea Holdings,South Korea,024720.KO,Micro Cap
Able C&C,South Korea,078520.KO,Micro Cap
Tonymoly,South Korea,214420.KO,Micro Cap
Johnson Chemical Pharmaceutical Works,Taiwan,4747.TWO,Micro Cap
