symbol,name,country,cap
9983.TSE,Fast Retailing,Japan,Blue Chip
5108.TSE,Bridgestone,Japan,Blue Chip
8113.TSE,Unicharm,Japan,Blue Chip
2802.TSE,Ajinomoto,Japan,Blue Chip
2502.TSE,Asahi Group,Japan,Blue Chip
4911.TSE,Shiseido,Japan,Blue Chip
4452.TSE,Kaō,Japan,Blue Chip
7309.TSE,Shimano,Japan,Blue Chip
1216.TW,Uni-President Enterprises,Taiwan,Blue Chip
2503.TSE,Kirin Holdings,Japan,Blue Chip
2587.TSE,Suntory,Japan,Blue Chip
2801.TSE,Kikkoman,Japan,Blue Chip
2267.TSE,Yakult,Japan,Blue Chip
2897.TSE,Nissin Foods,Japan,Mid Cap
6586.TSE,Makita,Japan,Mid Cap
2269.TSE,Meiji Holdings,Japan,Mid Cap
051905.KO,LG Household & Health Care,South Korea,Mid Cap
3038.TSE,Kobe Bussan,Japan,Mid Cap
4922.TSE,Kosé,Japan,Mid Cap
2702.TSE,McDonald's Japan,Japan,Mid Cap
7936.TSE,ASICS Corporation,Japan,Mid Cap
2670.TSE,ABC-Mart,Japan,Mid Cap
090430.KO,Amorepacific,South Korea,Mid Cap
2875.TSE,Toyo Suisan,Japan,Mid Cap
383220.KO,F&F Co,South Korea,Mid Cap
271560.KO,ORION,South Korea,Mid Cap
4927.TSE,Pola Orbis Holdings,Japan,Mid Cap
161390.KO,Hankook Tire,South Korea,Mid Cap
4912.TSE,Lion Corp,Japan,Mid Cap
4921.TSE,Fancl Corp.,Japan,Mid Cap
5105.TSE,Toyo Tire,Japan,Mid Cap
2501.TSE,Sapporo,Japan,Mid Cap
004370.KO,Nongshim,South Korea,Small Cap
7956.TSE,Pigeon,Japan,Small Cap
081660.KO,Fila,South Korea,Small Cap
007310.KO,Ottogi,South Korea,Small Cap
000080.KO,HiteJinro,South Korea,Small Cap
4985.TSE,Earth Corporation,Japan,Small Cap
192820.KO,Cosmax,South Korea,Small Cap
003230.KO,Samyang Foods,South Korea,Small Cap
PERF,Perfect Corp.,Taiwan,Small Cap
4137.TW,Chlitina Holding,Taiwan,Small Cap
4917.TSE,Mandom Corp.,Japan,Small Cap
2753.TW,Bafang Yunji,Taiwan,Small Cap
1301.TSE,Kyokuyo,Japan,Small Cap
226320.KO,It's Hanbul,South Korea,Micro Cap
024720.KO,Kolmar Korea Holdings,South Korea,Micro Cap
078520.KO,Able C&C,South Korea,Micro Cap
214420.KO,Tonymoly,South Korea,Micro Cap
4747.TWO,Johnson Chemical Pharmaceutical Works,Taiwan,Micro Cap
