name,country,symbol,cap
Shiseido,Japan,4911.TSE,Blue Chip
Kaō,Japan,4452.TSE,Blue Chip
Kosé,Japan,4922.TSE,Mid Cap
Amorepacific,South Korea,090430.KO,Mid Cap
Pola Orbis Holdings,Japan,4927.TSE,Mid Cap
Fancl Corp.,Japan,4921.TSE,Mid Cap
Cosmax,South Korea,192820.KO,Small Cap
Perfect Corp.,Taiwan,PERF,Small Cap
Chlitina Holding,Taiwan,4137.TW,Small Cap
Mandom Corp.,Japan,4917.TSE,Small Cap
It's Hanbul,South Korea,226320.KO,Micro Cap
Kolmar Korea Holdings,South Korea,024720.KO,Micro Cap
Able C&C,South Korea,078520.KO,Micro Cap
Tonymoly,South Korea,214420.KO,Micro Cap
Johnson Chemical Pharmaceutical Works,Taiwan,4747.TWO,Micro Cap
