date,KRW,JPY,TWD
2022-12-29,1261.24,133.015,30.685
2022-12-30,1261.945,131.125,30.663
2023-01-02,1269.925,130.745,30.733
2023-01-03,1279.59,131.015,30.733
2023-01-04,1271.39,132.63,30.681
2023-01-05,1274.585,133.405,30.717
2023-01-06,1253.855,132.085,30.575
2023-01-09,1239.695,131.885,30.483
2023-01-10,1241.225,132.265,30.441
2023-01-11,1242.55,132.48,30.437
2023-01-12,1239.51,129.235,30.345
2023-01-13,1237.69,127.895,30.295
2023-01-16,1241.98,128.555,30.368
2023-01-17,1237.39,128.135,30.268
2023-01-18,1238.11,128.895,30.356
2023-01-19,1232.625,128.435,30.307
2023-01-20,1230.355,129.585,30.332
2023-01-23,1230.38,130.675,30.312
2023-01-24,1232.985,130.165,30.288
2023-01-25,1232.975,129.6,30.257
2023-01-26,1232.26,130.225,30.22
2023-01-27,1230.04,129.865,30.224
2023-01-30,1231.88,130.45,30.101
2023-01-31,1233.72,130.105,30.066
2023-02-01,1222.33,128.945,29.764
2023-02-02,1225.195,128.665,29.725
2023-02-03,1247.86,131.185,29.981
2023-02-06,1261.46,132.665,30.052
2023-02-07,1255.805,131.065,30.036
2023-02-08,1260.87,131.385,30.073
2023-02-09,1264.87,131.575,30.12
2023-02-10,1267.97,131.425,30.201
2023-02-13,1273.31,132.415,30.211
2023-02-14,1272.58,133.115,30.275
2023-02-15,1283.97,134.125,30.361
2023-02-16,1289.935,133.945,30.356
2023-02-17,1295.92,134.165,30.402
2023-02-20,1296.42,134.235,30.389
2023-02-21,1306.16,135.005,30.533
2023-02-22,1303.045,134.915,30.544
2023-02-23,1297.94,134.72,30.391
2023-02-24,1314.815,136.475,30.681
2023-02-27,1318.395,136.225,30.688
2023-02-28,1323.435,136.22,30.73
2023-03-01,1305.83,136.185,30.576
2023-03-02,1311.39,136.775,30.665
2023-03-03,1295.78,135.875,30.513
2023-03-06,1297.855,135.93,30.652
2023-03-07,1318.34,137.155,30.788
2023-03-08,1316.77,137.355,30.749
2023-03-09,1325.82,136.15,30.855
2023-03-10,1320.635,134.995,30.843
2023-03-13,1296.94,133.205,30.438
2023-03-14,1304.945,134.225,30.508
2023-03-15,1313.38,133.415,30.606
2023-03-16,1301.855,133.745,30.544
2023-03-17,1308.785,131.815,30.633
2023-03-20,1305.245,131.32,30.515
2023-03-21,1303.825,132.515,30.476
2023-03-22,1298.705,131.455,30.386
2023-03-23,1286.63,130.825,30.333
2023-03-24,1295.905,130.705,30.338
2023-03-27,1298.35,131.565,30.352
2023-03-28,1297.465,130.875,30.365
2023-03-29,1305.83,132.86,30.502
2023-03-30,1296.97,132.655,30.474
2023-03-31,1306.48,132.805,30.54
2023-04-03,1309.08,132.42,30.492
2023-04-04,1310.535,131.705,30.465
2023-04-05,1317.365,131.32,30.571
2023-04-06,1318.99,131.775,30.54
2023-04-07,1316.34,132.145,30.408
2023-04-10,1320.99,133.615,30.503
2023-04-11,1322.455,133.665,30.522
2023-04-12,1323.075,133.135,30.52
2023-04-13,1302.05,132.575,30.468
2023-04-14,1304.375,133.785,30.519
2023-04-17,1319.51,134.48,30.554
2023-04-18,1319.545,134.11,30.543
2023-04-19,1330.135,134.71,30.589
2023-04-20,1324.04,134.24,30.615
2023-04-21,1330.385,134.165,30.64
2023-04-24,1332.935,134.235,30.663
2023-04-25,1341.315,133.72,30.733
2023-04-26,1338.435,133.665,30.724
