name,country,symbol,cap
Sony,Japan,SONY,Blue Chip
Oriental Land,Japan,4661.TSE,Blue Chip
Nintendo,Japan,7974.TSE,Blue Chip
Nexon,Japan,3659.TSE,Blue Chip
Bandai Namco,Japan,7832.TSE,Blue Chip
HYBE,South Korea,352820.KO,Mid Cap
Konami Holdings,Japan,9766.TSE,Mid Cap
Toho Co.,Japan,9602.TSE,Mid Cap
Square Enix,Japan,9684.TSE,Mid Cap
Koei Tecmo,Japan,3635.TSE,Mid Cap
NCsoft,South Korea,036570.KO,Mid Cap
Sega Sammy Holdings,Japan,6460.TSE,Mid Cap
CyberAgent,Japan,4751.TSE,Mid Cap
Kadokawa,Japan,9468.TSE,Mid Cap
JYP Entertainment,South Korea,035900.KO,Mid Cap
Netmarble,South Korea,251270.KO,Mid Cap
JYP Entertainment,South Korea,035900.KO,Mid Cap
Kangwon Land,South Korea,035250.KO,Mid Cap
International Games System,Taiwan,3293.TWO,Mid Cap
Kangwon Land,South Korea,035250.KO,Mid Cap
SM Entertainment,South Korea,041510.KO,Mid Cap
DeNA,Japan,2432.TSE,Small Cap
Mixi,Japan,2121.TSE,Small Cap
"Studio Dragon ",South Korea,253450.KO,Small Cap
YG Entertainment,South Korea,122870.KO,Small Cap
CJ ENM,South Korea,035760.KO,Small Cap
GungHo Online Entertainment,Japan,3765.TSE,Small Cap
YG Entertainment,South Korea,122870.KO,Small Cap
Gree,Japan,3632.TSE,Small Cap
NHN Corp,South Korea,181710.KO,Small Cap
Neowiz Games,South Korea,095660.KO,Small Cap
Com2uS,South Korea,078340.KO,Small Cap
AfreecaTV,South Korea,067160.KO,Small Cap
Com2uS,South Korea,078340.KO,Small Cap
NHN Corp,South Korea,181710.KO,Small Cap
DoubleUGames,South Korea,192080.KO,Small Cap
Wemade,South Korea,112040.KO,Small Cap
COLOPL,Japan,3668.TSE,Small Cap
CJ CGV,South Korea,079160.KO,Small Cap
KEYEAST,South Korea,054780.KO,Small Cap
DoubleUGames,South Korea,192080.KO,Small Cap
Wemade,South Korea,112040.KO,Small Cap
Pearl Abyss,South Korea,263750.KO,Small Cap
Cube Entertainment,South Korea,182360.KO,Small Cap
Gamania Digital,Taiwan,6180.TWO,Small Cap
Seoul Broadcasting System,South Korea,034120.KO,Small Cap
Gravity Co.,South Korea,GRVY,Small Cap
Chorokbaem Media,South Korea,047820.KO,Small Cap
Bushiroad,Japan,7803.TSE,Small Cap
Gravity Co.,South Korea,GRVY,Small Cap
Soft-World International,Taiwan,5478.TWO,Small Cap
Webzen,South Korea,069080.KO,Small Cap
Happinet,Japan,7552.TSE,Small Cap
GIANTSTEP,South Korea,289220.KO,Small Cap
Marvelous,Japan,7844.TSE,Small Cap
Sun Corp,Japan,6736.TSE,Small Cap
Woongjin Thinkbig,South Korea,095720.KO,Micro Cap
Softstar Entertainment,Taiwan,6111.TWO,Micro Cap
UNITED,Japan,2497.TSE,Micro Cap
FuRyu,Japan,6238.TSE,Micro Cap
Dexter Studios,South Korea,206560.KO,Micro Cap
SM Culture & Contents,South Korea,048550.KO,Micro Cap
Akatsuki Inc,Japan,3932.TSE,Micro Cap
gumi,Japan,3903.TSE,Micro Cap
AlphaPolis,Japan,9467.TSE,Micro Cap
Genie Music,South Korea,043610.KO,Micro Cap
Bank of Innovation,Japan,4393.TSE,Micro Cap
Showbox,South Korea,086980.KO,Micro Cap
X-Legend Entertainment,Taiwan,4994.TW,Micro Cap
Next Entertainment World,South Korea,160550.KO,Micro Cap
Daewon Media,South Korea,048910.KO,Micro Cap
Yuke's,Japan,4334.TSE,Micro Cap
ASTORY,South Korea,241840.KO,Micro Cap
Drecom,Japan,3793.TSE,Micro Cap
Studio Mir,South Korea,408900.KO,Micro Cap
Userjoy Technology,Taiwan,3546.TWO,Micro Cap
Chinese Gamer International,Taiwan,3083.TWO,Micro Cap
Aiming Inc,Japan,3911.TSE,Micro Cap
RaemongRaein,South Korea,200350.KO,Micro Cap
SBS Contents Hub,South Korea,046140.KO,Micro Cap
4by4,South Korea,389140.KO,Micro Cap
RAINBOWBRIDGEWORLD,South Korea,361570.KO,Micro Cap
Kayak Inc,Japan,3904.TSE,Micro Cap
MacroWell OMG Digital Entertainment,Taiwan,3687.TWO,Micro Cap
KLab,Japan,3656.TSE,Micro Cap
CAVE Interactive,Japan,3760.TSE,Micro Cap
Nihon Falcom,Japan,3723.TSE,Micro Cap
Broccoli,Japan,2706.TSE,Micro Cap
Ateam,Japan,3662.TSE,Micro Cap
Samhwa Networks,South Korea,046390.KO,Micro Cap
Gamesparcs,Taiwan,6542.TWO,Micro Cap
CROOZ,Japan,2138.TSE,Micro Cap
Imagineer,Japan,4644.TSE,Micro Cap
Gala Incorporated,Japan,4777.TSE,Micro Cap
NHN BUGS,South Korea,104200.KO,Micro Cap
Aeria,Japan,3758.TSE,Micro Cap
Pan Entertainment,South Korea,068050.KO,Micro Cap
geechs,Japan,7060.TSE,Micro Cap
Wayi International Digital Entertainment,Taiwan,3086.TWO,Micro Cap
enish,Japan,3667.TSE,Micro Cap
Mobile Factory,Japan,3912.TSE,Micro Cap
coly,Japan,4175.TSE,Micro Cap
Nippon Ichi Software,Japan,3851.TSE,Micro Cap
Tose Software,Japan,4728.TSE,Micro Cap
CyberStep,Japan,3810.TSE,Micro Cap
Appirits,Japan,4174.TSE,Micro Cap
Silicon Studio,Japan,3907.TSE,Micro Cap
AltPlus,Japan,3672.TSE,Micro Cap
Fun Yours Technology,Taiwan,6482.TWO,Micro Cap
Wysiwyg Studios,South Korea,299900.KO,Micro Cap
Mobcast,Japan,3664.TSE,Micro Cap
Edia,Japan,3935.TSE,Micro Cap
Axel Mark,Japan,3624.TSE,Micro Cap
Netmarble Joybomb,Taiwan,6468.TWO,Micro Cap
Mynet,Japan,3928.TSE,Micro Cap
WonderPlanet,Japan,4199.TSE,Micro Cap
Astro Corporation,Taiwan,3064.TSE,Micro Cap
GAME HOURS,Taiwan,6626.TWO,Micro Cap
InterServ International,Taiwan,6169.TWO,Micro Cap
GigaMedia,Taiwan,GIGM,Micro Cap
Voltage,Japan,3639.TSE,Micro Cap
Aniplus,South Korea,310200.KO,Micro Cap
