symbol,name,country,cap,shares,currency,indecies
SONY,Sony,Japan,Blue Chip,1233980032,USD,"[anime-10]"
4661.TSE,Oriental Land,Japan,Blue Chip,1638089984,JPY,"[anime-10]"
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,"[anime-10]"
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,"[anime-10]"
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,"[anime-10]"
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,"[anime-10]"
9766.TSE,Konami Holdings,Japan,Mid Cap,135559008,JPY,"[anime-10]"
9602.TSE,Toho Co.,Japan,Mid Cap,174916992,JPY,"[anime-10]"
9684.TSE,Square Enix,Japan,Mid Cap,119729000,JPY,"[anime-10]"
3635.TSE,Koei Tecmo,Japan,Mid Cap,315369984,JPY,"[anime-10]"
036570.KO,NCsoft,South Korea,Mid Cap,20307400,KRW,"[anime-10]"
6460.TSE,Sega Sammy Holdings,Japan,Mid Cap,220744992,JPY,"[anime-10]"
4751.TSE,CyberAgent,Japan,Mid Cap,506076992,JPY,"[anime-10]"
9468.TSE,Kadokawa,Japan,Mid Cap,140604000,JPY,"[anime-10]"
035900.KO,JYP Entertainment,South Korea,Mid Cap,0,KRW,"[anime-10]"
251270.KO,Netmarble,South Korea,Mid Cap,81934600,KRW,"[anime-10]"
035900.KO,JYP Entertainment,South Korea,Mid Cap,0,KRW,"[anime-10]"
035250.KO,Kangwon Land,South Korea,Mid Cap,202739008,KRW,"[anime-10]"
3293.TWO,International Games System,Taiwan,Mid Cap,140900992,TWD,"[anime-10]"
035250.KO,Kangwon Land,South Korea,Mid Cap,202739008,KRW,"[anime-10]"
041510.KO,SM Entertainment,South Korea,Mid Cap,0,KRW,"[anime-10]"
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY,"[anime-10]"
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,"[anime-10]"
253450.KO,Studio Dragon ,South Korea,Small Cap,0,KRW,"[anime-10]"
122870.KO,YG Entertainment,South Korea,Small Cap,0,KRW,"[anime-10]"
035760.KO,CJ ENM,South Korea,Small Cap,0,KRW,"[anime-10]"
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,"[anime-10]"
122870.KO,YG Entertainment,South Korea,Small Cap,0,KRW,"[anime-10]"
3632.TSE,Gree,Japan,Small Cap,173364992,JPY,"[anime-10]"
181710.KO,NHN Corp,South Korea,Small Cap,33705800,KRW,"[anime-10]"
095660.KO,Neowiz Games,South Korea,Small Cap,0,KRW,"[anime-10]"
078340.KO,Com2uS,South Korea,Small Cap,0,KRW,"[anime-10]"
067160.KO,AfreecaTV,South Korea,Small Cap,0,KRW,"[anime-10]"
078340.KO,Com2uS,South Korea,Small Cap,0,KRW,"[anime-10]"
181710.KO,NHN Corp,South Korea,Small Cap,33705800,KRW,"[anime-10]"
192080.KO,DoubleUGames,South Korea,Small Cap,16525700,KRW,"[anime-10]"
112040.KO,Wemade,South Korea,Small Cap,0,KRW,"[anime-10]"
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY,"[anime-10]"
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,"[anime-10]"
054780.KO,KEYEAST,South Korea,Small Cap,0,KRW,"[anime-10]"
192080.KO,DoubleUGames,South Korea,Small Cap,16525700,KRW,"[anime-10]"
112040.KO,Wemade,South Korea,Small Cap,0,KRW,"[anime-10]"
