symbol,name,country,shares,currency,indicies
4661.TSE,Oriental Land,Japan,1638089984,JPY,entertainment-100
6758.TSE,Sony,Japan,1233980032,JPY,entertainment-100
7974.TSE,Nintendo,Japan,1164230016,JPY,entertainment-100
3659.TSE,Nexon,Japan,854155008,JPY,entertainment-100
7832.TSE,Bandai Namco,Japan,660049984,JPY,entertainment-100
4751.TSE,CyberAgent,Japan,506076992,JPY,entertainment-100
3064.TSE,Astro Corporation,Taiwan,496907008,JPY,entertainment-100
3635.TSE,Koei Tecmo,Japan,315369984,JPY,entertainment-100
6460.TSE,Sega Sammy Holdings,Japan,220744992,JPY,entertainment-100
035250.KO,Kangwon Land,South Korea,202739008,KRW,entertainment-100
6180.TWO,Gamania Digital,Taiwan,175494000,TWD,entertainment-100
9602.TSE,Toho Co.,Japan,174916992,JPY,entertainment-100
3632.TSE,Gree,Japan,173364992,JPY,entertainment-100
299900.KQ,Wysiwyg Studios,South Korea,171048884,KRW,entertainment-100
3293.TWO,International Games System,Taiwan,140900992,TWD,entertainment-100
9468.TSE,Kadokawa,Japan,140604000,JPY,entertainment-100
9766.TSE,Konami Holdings,Japan,135559008,JPY,entertainment-100
3668.TSE,COLOPL,Japan,128276000,JPY,entertainment-100
5478.TWO,Soft-World International,Taiwan,121338000,TWD,entertainment-100
9684.TSE,Square Enix,Japan,119729000,JPY,entertainment-100
095720.KO,Woongjin Thinkbig,South Korea,112683000,KRW,entertainment-100
2432.TSE,DeNA,Japan,111340000,JPY,entertainment-100
4994.TW,X-Legend Entertainment,Taiwan,110639000,TWD,entertainment-100
048550.KQ,SM Culture & Contents,South Korea,96693620,KRW,entertainment-100
3083.TWO,Chinese Gamer International,Taiwan,86433000,TWD,entertainment-100
251270.KO,Netmarble,South Korea,81934600,KRW,entertainment-100
6111.TWO,Softstar Entertainment,Taiwan,79427000,TWD,entertainment-100
2121.TSE,Mixi,Japan,72973000,JPY,entertainment-100
7803.TSE,Bushiroad,Japan,67892096,JPY,entertainment-100
263750.KQ,Pearl Abyss,South Korea,64247855,KRW,entertainment-100
086980.KQ,Showbox,South Korea,62638000,KRW,entertainment-100
7844.TSE,Marvelous,Japan,60468600,JPY,entertainment-100
3765.TSE,GungHo Online Entertainment,Japan,59896300,JPY,entertainment-100
043610.KQ,Genie Music,South Korea,58115438,KRW,entertainment-100
3546.TWO,Userjoy Technology,Taiwan,48177000,TWD,entertainment-100
079160.KO,CJ CGV,South Korea,47728500,KRW,entertainment-100
310200.KQ,Aniplus,South Korea,45186656,KRW,entertainment-100
3664.TSE,Mobcast,Japan,44638400,JPY,entertainment-100
046390.KQ,Samhwa Networks,South Korea,43172933,KRW,entertainment-100
6542.TWO,Gamesparcs,Taiwan,42000600,TWD,entertainment-100
352820.KO,HYBE,South Korea,41649100,KRW,entertainment-100
3656.TSE,KLab,Japan,40450700,JPY,entertainment-100
3911.TSE,Aiming Inc,Japan,40133500,JPY,entertainment-100
3903.TSE,gumi,Japan,39249200,JPY,entertainment-100
2497.TSE,UNITED,Japan,38081600,JPY,entertainment-100
035900.KQ,JYP Entertainment,South Korea,35497492,KRW,entertainment-100
069080.KQ,Webzen,South Korea,34950884,KRW,entertainment-100
112040.KQ,Wemade,South Korea,33796962,KRW,entertainment-100
181710.KO,NHN Corp,South Korea,33705800,KRW,entertainment-100
3687.TWO,MacroWell OMG Digital Entertainment,Taiwan,30060000,TWD,entertainment-100
253450.KQ,Studio Dragon,South Korea,30058498,KRW,entertainment-100
361570.KQ,RAINBOWBRIDGEWORLD,South Korea,28635291,KRW,entertainment-100
3793.TSE,Drecom,Japan,28492200,JPY,entertainment-100
160550.KQ,Next Entertainment World,South Korea,27906106,KRW,entertainment-100
068050.KQ,Pan Entertainment,South Korea,27694076,KRW,entertainment-100
6626.TWO,GAME HOURS,Taiwan,27177000,TWD,entertainment-100
6238.TSE,FuRyu,Japan,26440000,JPY,entertainment-100
206560.KQ,Dexter Studios,South Korea,25411736,KRW,entertainment-100
4777.TSE,Gala Incorporated,Japan,25035700,JPY,entertainment-100
041510.KQ,SM Entertainment,South Korea,23830901,KRW,entertainment-100
6169.TWO,InterServ International,Taiwan,23395000,TWD,entertainment-100
3086.TWO,Wayi International Digital Entertainment,Taiwan,22274000,TWD,entertainment-100
6736.TSE,Sun Corp,Japan,22206400,JPY,entertainment-100
7552.TSE,Happinet,Japan,22188700,JPY,entertainment-100
