symbol,name,country,cap,shares-old,currency
4661.TSE,Oriental Land,Japan,Blue Chip,1638089984,JPY
6758.TSE,Sony,Japan,Blue Chip,1233980032,JPY
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY
4751.TSE,CyberAgent,Japan,Mid Cap,506076992,JPY
3064.TSE,Astro Corporation,Taiwan,Micro Cap,496907008,JPY
3635.TSE,Koei Tecmo,Japan,Mid Cap,315369984,JPY
6460.TSE,Sega Sammy Holdings,Japan,Mid Cap,220744992,JPY
035250.KO,Kangwon Land,South Korea,Mid Cap,202739008,KRW
6180.TWO,Gamania Digital,Taiwan,Small Cap,175494000,TWD
9602.TSE,Toho Co.,Japan,Mid Cap,174916992,JPY
3632.TSE,Gree,Japan,Small Cap,173364992,JPY
299900.KQ,Wysiwyg Studios,South Korea,Micro Cap,171048884,KRW
3293.TWO,International Games System,Taiwan,Mid Cap,140900992,TWD
9468.TSE,Kadokawa,Japan,Mid Cap,140604000,JPY
9766.TSE,Konami Holdings,Japan,Mid Cap,135559008,JPY
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY
5478.TWO,Soft-World International,Taiwan,Small Cap,121338000,TWD
9684.TSE,Square Enix,Japan,Mid Cap,119729000,JPY
095720.KO,Woongjin Thinkbig,South Korea,Micro Cap,112683000,KRW
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY
4994.TW,X-Legend Entertainment,Taiwan,Micro Cap,110639000,TWD
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,96693620,KRW
3083.TWO,Chinese Gamer International,Taiwan,Micro Cap,86433000,TWD
251270.KO,Netmarble,South Korea,Mid Cap,81934600,KRW
6111.TWO,Softstar Entertainment,Taiwan,Micro Cap,79427000,TWD
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY
7803.TSE,Bushiroad,Japan,Small Cap,67892096,JPY
263750.KQ,Pearl Abyss,South Korea,Small Cap,64247855,KRW
086980.KQ,Showbox,South Korea,Micro Cap,62638000,KRW
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY
043610.KQ,Genie Music,South Korea,Micro Cap,58115438,KRW
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW
310200.KQ,Aniplus,South Korea,Micro Cap,45186656,KRW
3664.TSE,Mobcast,Japan,Micro Cap,44638400,JPY
046390.KQ,Samhwa Networks,South Korea,Micro Cap,43172933,KRW
6542.TWO,Gamesparcs,Taiwan,Micro Cap,42000600,TWD
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW
