id,symbol,name,currency,country,shares,cap_index,indicies
971,000660.KO,SK Hynix,KRW,South Korea,708217024,Blue Chip,"[tech-100]"
989,005930.KO,Samsung,KRW,South Korea,5969780224,Blue Chip,"[tech-100]"
945,035420.KO,Naver,KRW,South Korea,150564000,Blue Chip,"[tech-100]"
962,035720.KO,Kakao,KRW,South Korea,444983008,Blue Chip,"[tech-100]"
685,036570.KO,NCsoft,KRW,South Korea,20307400,Mid Cap,"[video-75,entertainment-100,tech-100]"
924,039030.KQ,EO Technics,KRW,South Korea,12102153,Small Cap,"[tech-100]"
928,053800.KQ,AhnLab,KRW,South Korea,10013855,Small Cap,"[tech-100]"
927,063080.KQ,Com2uS,KRW,South Korea,6595192,Small Cap,"[tech-100]"
947,066570.KO,LG Electronics,KRW,South Korea,162884992,Blue Chip,"[tech-100]"
686,069080.KQ,Webzen,KRW,South Korea,34950884,Small Cap,"[video-75,entertainment-100,tech-100]"
688,095660.KQ,Neowiz Games,KRW,South Korea,8856866,Small Cap,"[video-75,entertainment-100,tech-100]"
929,098460.KQ,Koh Young Technology,KRW,South Korea,68654755,Micro Cap,"[tech-100]"
925,101490.KQ,S&S Tech,KRW,South Korea,21451447,Small Cap,"[tech-100]"
689,112040.KQ,Wemade,KRW,South Korea,33796962,Small Cap,"[video-75,entertainment-100,tech-100]"
926,137400.KQ,People & Technology,KRW,South Korea,22741198,Small Cap,"[tech-100]"
692,2121.TSE,Mixi,JPY,Japan,72973000,Small Cap,"[video-75,entertainment-100,tech-100]"
922,214150.KQ,Classys,KRW,South Korea,64689751,Small Cap,"[tech-100]"
991,2303.TW,United Microelectronics,TWD,Taiwan,12503100416,Blue Chip,"[tech-100]"
984,2308.TW,Delta Electronics,TWD,Taiwan,2597540096,Blue Chip,"[tech-100]"
992,2317.TW,Foxconn (Hon Hai Precision Industry),TWD,Taiwan,13861499904,Blue Chip,"[tech-100]"
993,2330.TW,Taiwan Semiconductor (TSMC),TWD,Taiwan,25931999232,Blue Chip,"[tech-100]"
985,2353.TW,Acer,TWD,Taiwan,3001110016,Mid Cap,"[tech-100]"
973,2357.TW,ASUS,TWD,Taiwan,742760000,Mid Cap,"[tech-100]"
965,2379.TW,Realtek,TWD,Taiwan,512863008,Mid Cap,"[tech-100]"
975,2395.TW,Advantech,TWD,Taiwan,778486976,Blue Chip,"[tech-100]"
986,2408.TW,Nanya Technology,TWD,Taiwan,3098040064,Mid Cap,"[tech-100]"
970,2413.TSE,M3 Inc,JPY,Japan,678921984,Blue Chip,"[tech-100]"
694,2432.TSE,DeNA,JPY,Japan,111340000,Small Cap,"[video-75,entertainment-100,tech-100]"
978,2454.TW,MediaTek,TWD,Taiwan,1591800064,Blue Chip,"[tech-100]"
695,2497.TSE,UNITED,JPY,Japan,38081600,Micro Cap,"[video-75,entertainment-100,tech-100]"
