symbol,name,country,index,shares
352820.KO,HYBE,South Korea,Mid Cap,41649100
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700
253450.KQ,Studio Dragon ,South Korea,Small Cap,28051500
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600
035760.KQ,CJ ENM,South Korea,Small Cap,21929200
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400
079160.KO,CJ CGV,South Korea,Small Cap,47728500
054780.KQ,KEYEAST,South Korea,Small Cap,85175600
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800
289220.KQ,GIANTSTEP,South Korea,Small Cap,0
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696
043610.KQ,Genie Music,South Korea,Micro Cap,58115400
086980.KQ,Showbox,South Korea,Micro Cap,62400000
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100
241840.KQ,ASTORY,South Korea,Micro Cap,0
200350.KQ,RaemongRaein,South Korea,Micro Cap,0
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600
361570.KQ,RBW (RAINBOW BRIDGE WORLD),South Korea,Micro Cap,0
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000
003560.KO,IHQ,South Korea,Micro Cap,239696992
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300
389140.KQ,4by4,South Korea,Micro Cap,0
299900.KQ,Wysiwyg Studios,South Korea,Micro Cap,8867360
310200.KQ,Aniplus,South Korea,Micro Cap,3050000
035420.KO,Naver,South Korea,Blue Chip,150564000
035720.KO,Kakao,South Korea,Blue Chip,444983008
