name,country,symbol,index 
HYBE,South Korea,352820.KO,Mid Cap
JYP Entertainment,South Korea,035900.KQ,Mid Cap
SM Entertainment,South Korea,041510.KQ,Mid Cap
"Studio Dragon ",South Korea,253450.KQ,Small Cap
YG Entertainment,South Korea,122870.KQ,Small Cap
CJ ENM,South Korea,035760.KQ,Small Cap
AfreecaTV,South Korea,067160.KQ,Small Cap
CJ CGV,South Korea,079160.KO,Small Cap
KEYEAST,South Korea,054780.KQ,Small Cap
Cube Entertainment,South Korea,182360.KQ,Small Cap
Chorokbaem Media,South Korea,047820.KQ,Small Cap
GIANTSTEP,South Korea,289220.KQ,Small Cap
Dexter Studios,South Korea,206560.KQ,Micro Cap
SM Culture & Contents,South Korea,048550.KQ,Micro Cap
Genie Music,South Korea,043610.KQ,Micro Cap
Showbox,South Korea,086980.KQ,Micro Cap
Next Entertainment World,South Korea,160550.KQ,Micro Cap
ASTORY,South Korea,241840.KQ,Micro Cap
RaemongRaein,South Korea,200350.KQ,Micro Cap
SBS Contents Hub,South Korea,046140.KQ,Micro Cap
RBW (RAINBOW BRIDGE WORLD),South Korea,361570.KQ,Micro Cap
Samhwa Networks,South Korea,046390.KQ,Micro Cap
NHN BUGS,South Korea,104200.KQ,Micro Cap
Pan Entertainment,South Korea,068050.KQ,Micro Cap
IHQ,South Korea,003560.KO,Micro Cap
Daewon Media,South Korea,048910.KQ,Micro Cap
4by4,South Korea,389140.KQ,Micro Cap
Wysiwyg Studios,South Korea,299900.KQ,Micro Cap
Aniplus,South Korea,310200.KQ,Micro Cap
