date,KRW,JPY,TWD,index,share_price_usd,352820.KO,035900.KQ,041510.KQ,253450.KQ,035760.KQ,122870.KQ,067160.KQ,054780.KQ,079160.KO,047820.KQ,182360.KQ,289220.KQ,048550.KQ,206560.KQ,043610.KQ,086980.KQ,241840.KQ,160550.KQ,389140.KQ,048910.KQ,046140.KQ,046390.KQ,200350.KQ,104200.KQ,068050.KQ
2023-03-30,1296.97,132.655,30.474,1,49.827436939932035,188000,77500,94100,70100,86800,57000,78300,8770,15790,9380,23050,20800,3365,11970,4115,3480,22750,6760,17350,15050,8240,3090,19550,6920,4870
2023-03-31,1306.48,132.805,30.54,0.9951477858629109,49.58566354599718,188900,77400,93200,70300,85900,56700,84800,8600,15510,9010,23250,20000,3255,11570,4030,3425,22700,6630,16500,14350,8090,3125,19120,6730,4850
2023-04-01,1306.48,132.805,30.54,0.9951477858629109,49.58566354599718,188900,77400,93200,70300,85900,56700,84800,8600,15510,9010,23250,20000,3255,11570,4030,3425,22700,6630,16500,14350,8090,3125,19120,6730,4850
2023-04-02,1306.48,132.805,30.54,0.9951477858629109,49.58566354599718,188900,77400,93200,70300,85900,56700,84800,8600,15510,9010,23250,20000,3255,11570,4030,3425,22700,6630,16500,14350,8090,3125,19120,6730,4850
2023-04-03,1309.08,132.42,30.492,0.983957755878304,49.028093032583236,184000,76900,94400,69300,83700,55800,87500,8720,15240,8710,25650,19680,3265,11050,4025,3455,22450,6600,16510,14300,8180,3200,18940,6650,4800
2023-04-04,1310.535,131.705,30.465,1.005754243874988,50.11415616374999,190300,78100,96100,70800,87300,57100,86100,8900,15600,9190,25050,19720,3330,11070,4060,3505,22900,6610,16900,15040,8020,3240,18960,6890,5370
2023-04-05,1317.365,131.32,30.571,0.9965996954682528,49.658008480299834,190700,77200,96200,70300,85600,56600,86400,8850,15500,9210,25750,19780,3305,11140,4085,3530,22600,6720,16950,14700,7960,3200,19050,6900,5410
2023-04-06,1318.99,131.775,30.54,1.01267155100676,50.458827848652504,205000,77900,98000,69100,84200,57800,81000,8870,15090,9140,25950,19060,3320,10800,3960,3515,22250,6540,16150,14150,7770,3240,19010,6720,5330
2023-04-07,1316.34,132.145,30.408,1.035761664987858,51.60934904698151,217000,77200,97600,69700,84900,61500,80800,8810,15130,9120,24200,19020,3250,10800,3960,3435,22300,6520,15940,14000,7800,3255,18880,6700,5380
2023-04-08,1316.34,132.145,30.408,1.035761664987858,51.60934904698151,217000,77200,97600,69700,84900,61500,80800,8810,15130,9120,24200,19020,3250,10800,3960,3435,22300,6520,15940,14000,7800,3255,18880,6700,5380
2023-04-09,1316.34,132.145,30.408,1.035761664987858,51.60934904698151,217000,77200,97600,69700,84900,61500,80800,8810,15130,9120,24200,19020,3250,10800,3960,3435,22300,6520,15940,14000,7800,3255,18880,6700,5380
2023-04-10,1320.99,133.615,30.503,1.0250924968745412,51.07773174561368,222000,76400,95800,68200,81700,60500,79700,8500,14740,8820,24100,18600,3190,10450,3950,3400,21800,6410,15140,13510,7900,3330,18300,6330,5380
2023-04-11,1322.455,133.665,30.522,1.032058628781574,51.424836243926606,224500,76600,97400,68600,81800,60600,79800,8480,14810,8860,25000,18500,3205,10430,3945,3400,21100,6440,15150,14500,7780,3405,18570,6370,5160
2023-04-12,1323.075,133.135,30.52,1.046207647510375,52.129845582397856,235500,75900,95200,69400,82600,61200,78700,8390,15190,8920,24850,18350,3200,10350,3950,3450,21800,6400,14990,14610,7700,3445,18590,6370,5090
2023-04-13,1302.05,132.575,30.468,1.1035602748382944,54.98758000391918,245000,80600,101700,70700,83800,63100,78600,8430,15530,9050,26100,20300,3240,10670,3985,3520,22600,6650,15310,15460,7700,3505,19060,6480,5430
2023-04-14,1304.375,133.785,30.519,1.1378561167590329,56.696453904526656,259000,85000,105500,70600,84500,63100,79000,8750,15650,9270,26250,20300,3280,11080,4045,3525,22100,6900,15150,16130,7680,3575,19340,6720,5640
2023-04-15,1304.375,133.785,30.519,1.1378561167590329,56.696453904526656,259000,85000,105500,70600,84500,63100,79000,8750,15650,9270,26250,20300,3280,11080,4045,3525,22100,6900,15150,16130,7680,3575,19340,6720,5640
