symbol,name,country,cap,shares,currency,initial_date,initial_price,initial_price_USD,initial_MC_USD,share,share_adj
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,2023-03-29,190100,145.5779083035311,6063.188860724597,0.32628967657826036,0.1
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW,2023-03-29,77200,59.119487222685954,1956.5949013271254,0.1052938861403709,0.1
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW,2023-03-29,97400,74.58857584831104,1741.54628090946,0.09372107414053234,0.1
253450.KQ,Studio Dragon ,South Korea,Small Cap,28051500,KRW,2023-03-29,71200,54.52470842299534,1529.4998583276536,0.08230982500528337,0.1
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW,2023-03-29,86300,66.08823506888339,1449.2621244725578,0.07799184236770759,0.1
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW,2023-03-29,57600,44.109876477029935,802.6938881783999,0.043196861450523254,0.06869867626483941
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW,2023-03-29,76800,58.81316863603992,636.02913089759,0.03422782040639342,0.05443464812931224
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW,2023-03-29,8930,6.838562446872871,582.4786595498649,0.03134600913875389,0.04985152304373878
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,2023-03-29,15440,11.823897444537192,564.3368891815933,0.03036971225571189,0.04829885691813854
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800,KRW,2023-03-29,9440,7.229118644846573,552.267073049325,0.029720176756716028,0.047265859902391294
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW,2023-03-29,23700,18.14937625877794,482.29789482551325,0.025954795031435943,0.04127753733745583
289220.KQ,GIANTSTEP,South Korea,Small Cap,22121745,KRW,2023-03-29,21150,16.19659526890943,358.29695040702086,0.01928170122236838,0.030664897995611163
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW,2023-03-29,3420,2.6190239158236523,242.62557937863275,0.013056862262345254,0.020765146435993902
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW,2023-03-29,11520,8.821975295405988,217.39552621704206,0.011699110413400882,0.01860582856922128
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW,2023-03-29,4035,3.089988742791941,179.57593178285074,0.009663854128347853,0.015369032932969231
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW,2023-03-29,3510,2.6879455978190117,167.7278053039063,0.009026248827626426,0.01435500925930078
241840.KQ,ASTORY,South Korea,Micro Cap,9539994,KRW,2023-03-29,22950,17.575028908816616,167.66567033993707,0.009022905043066283,0.014349691429132496
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW,2023-03-29,6740,5.161468184985795,144.0364473170321,0.007751301648377066,0.012327380848789
389140.KQ,4by4,South Korea,Micro Cap,10522735,KRW,2023-03-29,17790,13.623519141082683,143.3566816890407,0.007714720154380881,0.012269203006025896
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300,KRW,2023-03-29,15070,11.540552751889603,142.07920709433847,0.007645973034355905,0.012159870152106744
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW,2023-03-29,8180,6.264215096911543,134.4526071540706,0.007235548605055777,0.011507146457540057
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW,2023-03-29,3220,2.4658646225006318,99.46780055596824,0.005352846038425912,0.008512966561483726
200350.KQ,RaemongRaein,South Korea,Micro Cap,6422104,KRW,2023-03-29,20150,15.430798802294326,99.0981947114096,0.005332955750616527,0.00848133379009369
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW,2023-03-29,6920,5.2993115489765135,74.9995665591999,0.004036091383303291,0.00641884910167477
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000,KRW,2023-03-29,4870,3.729428792415552,51.253539894166934,0.00275820221664019,0.004386541864180542
