symbol,name,country,"index ",shares,currency
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW
253450.KQ,"Studio Dragon ",South Korea,Small Cap,28051500,KRW
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW
289220.KQ,GIANTSTEP,South Korea,Small Cap,22121745,KRW
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW
241840.KQ,ASTORY,South Korea,Micro Cap,9539994,KRW
200350.KQ,RaemongRaein,South Korea,Micro Cap,6422104,KRW
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW
361570.KQ,RBW (RAINBOW BRIDGE WORLD),South Korea,Micro Cap,9666193,KRW
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000,KRW
003560.KO,IHQ,South Korea,Micro Cap,239696992,KRW
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300,KRW
389140.KQ,4by4,South Korea,Micro Cap,10522735,KRW
299900.KQ,Wysiwyg Studios,South Korea,Micro Cap,8867360,KRW
310200.KQ,Aniplus,South Korea,Micro Cap,3050000,KRW
