symbol,name,country,cap,shares,currency,initial_date,initial_price
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,2023-03-29,190100
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW,2023-03-29,77200
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW,2023-03-29,97400
253450.KQ,Studio Dragon ,South Korea,Small Cap,28051500,KRW,2023-03-29,71200
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW,2023-03-29,57600
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW,2023-03-29,86300
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW,2023-03-29,76800
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,2023-03-29,15440
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW,2023-03-29,8930
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800,KRW,2023-03-29,9440
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW,2023-03-29,23700
289220.KQ,GIANTSTEP,South Korea,Small Cap,22121745,KRW,2023-03-29,21150
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW,2023-03-29,11520
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW,2023-03-29,3420
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW,2023-03-29,4035
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW,2023-03-29,3510
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW,2023-03-29,6740
241840.KQ,ASTORY,South Korea,Micro Cap,9539994,KRW,2023-03-29,22950
200350.KQ,RaemongRaein,South Korea,Micro Cap,6422104,KRW,2023-03-29,20150
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW,2023-03-29,8180
361570.KQ,RBW (RAINBOW BRIDGE WORLD),South Korea,Micro Cap,9666193,KRW,2023-03-29,4676.6618
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW,2023-03-29,3220
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW,2023-03-29,6920
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000,KRW,2023-03-29,4870
003560.KO,IHQ,South Korea,Micro Cap,239696992,KRW,2023-03-29,201
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300,KRW,2023-03-29,15070
389140.KQ,4by4,South Korea,Micro Cap,10522735,KRW,2023-03-29,17790
299900.KQ,Wysiwyg Studios,South Korea,Micro Cap,8867360,KRW,2023-03-29,3895
310200.KQ,Aniplus,South Korea,Micro Cap,3050000,KRW,2023-03-29,3790
