#,Name,Market Cap. USD mllion,Country,Symbol,Price (USD),Index,shares,MC check,initialPrice_1jan2023,initialPrice_USD,initialMC,initialMC_Adjusted,SHARE
1,HYBE,9392,South Korea,352820.KO,227.12,Mid Cap,41649100,9459,173500,137.48618204438387,5726.175744584748,1818.359344400608,10
4,Studio Dragon,1394,South Korea,253450.KQ,49.69,Small Cap,28051500,1394,86000,68.14877035053034,1911.675231487902,1818.359344400608,10
6,CJ ENM,1291,South Korea,035760.KQ,58.86,Small Cap,21929200,1291,104700,82.9671657639596,1819.4035714710228,1818.359344400608,10
2,JYP Entertainment,3095,South Korea,035900.KQ,93.52,Mid Cap,33095600,3095,67800,53.7265887182088,1778.1136895823513,1818.359344400608,10
3,SM Entertainment,2031,South Korea,041510.KQ,86.97,Mid Cap,23348700,2031,76700,60.77919402192647,1419.1151674597547,1607.7785417227828,8.841918659662731
11,Chorokbaem Media,416,South Korea,047820.KQ,5.44,Small Cap,76394800,416,10650,8.439353537594744,644.722725633843,833.3860998968712,4.583176050779903
8,CJ CGV,567,South Korea,079160.KO,11.87,Small Cap,47728500,567,16950,13.4316471795522,641.0723724092571,829.7357466722854,4.563101068154348
5,YG Entertainment,1353,South Korea,122870.KQ,74.36,Small Cap,18197600,1353,43850,34.747948603148316,632.3292695006519,820.9926437636801,4.515018696891877
9,KEYEAST,548,South Korea,054780.KQ,6.43,Small Cap,85175600,548,9350,7.409197706714635,631.0828601880431,819.7462344510714,4.5081641149499365
7,AfreecaTV,672,South Korea,067160.KQ,62.09,Small Cap,10814400,671,71100,56.341599673519845,609.300595509313,797.9639697723412,4.388373355517232
10,Cube Entertainment,470,South Korea,182360.KQ,17.70,Small Cap,26573800,470,16200,12.837326507890598,341.1365471553832,529.7999214184114,2.9136150841133723
12,GIANTSTEP,317,South Korea,289220.KQ,14.08,Small Cap,22121745,311,17450,13.827860960659935,305.89641406717413,494.5597883302023,2.719813274824541
13,Dexter Studios,210,South Korea,206560.KQ,8.52,Micro Cap,24642500,210,12700,10.063830040136457,247.99793176406266,436.66130602709086,2.401402711580251
14,SM Culture & Contents,207,South Korea,048550.KQ,2.24,Micro Cap,92639696,208,2960,2.345585584157788,217.29433545835994,405.95770972138814,2.232549418636531
18,ASTORY,149,South Korea,241840.KQ,15.76,Micro Cap,9539994,150,25350,20.08803870216214,191.63976869039462,380.3031429534228,2.091463077001336
16,Showbox,172,South Korea,086980.KQ,2.76,Micro Cap,62400000,172,3675,2.9121712911418487,181.71948856725135,370.3828628302796,2.0369068631611436
17,Next Entertainment World,162,South Korea,160550.KQ,5.81,Micro Cap,27906100,162,8150,6.458284632056072,180.22553677061995,368.8889110336481,2.028690930478575
15,Genie Music,179,South Korea,043610.KQ,3.08,Micro Cap,58115400,179,3410,2.7021779871547493,157.0381545946931,345.7015288577213,1.9011727793093398
22,Samhwa Networks,87,South Korea,046390.KQ,2.16,Micro Cap,40337900,87,3390,2.68632943591044,108.36088815281174,297.0242624158399,1.6334739518373307
19,RaemongRaein,113,South Korea,200350.KQ,17.58,Micro Cap,6422104,113,21200,16.799464318967942,107.88790700070129,296.5512812637295,1.6308728094747558
20,SBS Contents Hub,113,South Korea,046140.KQ,5.28,Micro Cap,21463600,113,5700,4.5168371046281734,96.94758487889726,285.6109591419255,1.5707069123681514
25,IHQ,45,South Korea,003560.KO,0.19,Micro Cap,239696992,46,423,0.3351968588171434,80.34567878631795,269.0090530493461,1.4794053434912253
23,NHN BUGS,65,South Korea,104200.KQ,4.60,Micro Cap,14152700,65,5700,4.5168371046281734,63.92544049067115,252.5888147536993,1.3891028499482923
24,Pan Entertainment,59,South Korea,068050.KQ,4.32,Micro Cap,13743000,59,5210,4.1285475991425935,56.73862965501666,245.4020039180448,1.3495792494136383
21,RBW (RAINBOW BRIDGE WORLD),112,South Korea,361570.KQ,11.74,Micro Cap,9666193,113,4366.706,3.460298190491662,33.44791014684317,222.1112844098713,1.221492798405513
