date,KRW,JPY,TWD,352820.KO,253450.KQ,035760.KQ,035900.KQ,041510.KQ,047820.KQ,079160.KO,122870.KQ,054780.KQ,067160.KQ,182360.KQ,289220.KQ,206560.KQ,048550.KQ,241840.KQ,086980.KQ,160550.KQ,043610.KQ,048910.KQ,046390.KQ,200350.KQ,046140.KQ,389140.KQ,003560.KO,104200.KQ,share_price_usd,kpop
2022-12-29,1261.24,133.015,30.685,173500,86000,104700,67800,76700,10650,16950,43850,9350,71100,16200,17450,12700,2960,25350,3675,8150,3410,13850,3390,21200,5700,11200,423,5700,48.96457085282386,1
2022-12-30,1261.945,131.125,30.663,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,1269.925,130.745,30.733,169500,83800,104500,67200,75200,10150,17050,48050,9000,67700,15700,16950,12150,2970,24200,3515,8000,3410,14400,3180,20800,5510,10500,402,5470,47.91028386115884,0.9784683706340659
2023-01-03,1279.59,131.015,30.733,176500,85300,103500,68000,77200,10450,17100,49500,9450,73000,16750,17650,12800,3040,24700,3505,8540,3435,16250,3720,20650,5720,10550,396,5510,48.76144892811551,0.9958516551626913
2023-01-04,1271.39,132.63,30.681,171500,80000,101200,65100,75200,10500,17100,48800,9370,75000,16850,18200,12950,3220,24400,3560,8390,3485,16000,3545,21300,5720,10950,399,5610,47.77104445557232,0.9756246940090826
2023-01-05,1274.585,133.405,30.717,172000,81000,100800,64600,74400,10600,17200,49100,9540,77000,16600,17650,12550,3130,24800,3555,8510,3505,16350,3510,21800,5720,10300,397,5720,47.733617581238946,0.9748603275767519
2023-01-06,1253.855,132.085,30.575,168000,80800,100500,63100,73900,10600,17200,49600,9210,74400,16900,17500,12350,3085,25100,3515,8680,3545,15300,3555,20950,5850,10400,392,5820,47.892323163034874,0.9781015605546322
2023-01-09,1239.695,131.885,30.483,173500,81300,100700,65600,76300,10750,17750,48800,9180,74500,17500,18000,12650,3220,25200,3625,8370,3575,15550,3525,21050,6040,10700,401,6300,49.37416096229119,1.0083650301091878
2023-01-10,1241.225,132.265,30.441,170500,79800,98600,63800,74600,10600,17850,47000,9030,75800,17100,18000,12600,3180,24300,3610,8030,3580,14850,3395,20800,5960,10900,398,6160,48.428473253071054,0.989051316280006
2023-01-11,1242.55,132.48,30.437,174500,80100,100000,65400,77000,11000,18500,47900,9090,77200,18500,18450,12800,3265,24450,3670,8060,3625,15200,3375,20900,6100,11300,415,6340,49.36975963800916,1.0082751421717389
2023-01-12,1239.51,129.235,30.345,173000,78800,98900,66000,77700,11050,17950,48650,9190,78400,18050,18350,12650,3255,24600,3675,8120,3690,14800,3340,21250,6070,11400,415,6240,49.33484360421843,1.0075620544598975
2023-01-13,1237.69,127.895,30.295,174500,78800,100200,63900,75500,11050,17950,49050,9240,77100,19200,18400,13100,3250,24300,3680,8070,3700,15550,3355,21350,6080,11600,414,6240,49.29188463701949,1.00668470648256
2023-01-16,1241.98,128.555,30.368,178500,79600,101500,63800,74500,11300,18250,48350,9410,78200,19250,18950,13300,3225,24400,3755,8130,3680,16250,3420,21900,6050,11800,406,6300,49.60506016960418,1.0130806684430154
2023-01-17,1237.39,128.135,30.268,177000,78300,99400,63900,73400,11200,18300,48100,9250,76200,19350,19950,13450,3205,24550,3765,8380,3690,16450,3490,24900,6030,12350,398,6430,49.26629354740638,1.0061620614523392
2023-01-18,1238.11,128.895,30.356,179000,80300,105000,64800,74100,11250,18450,49650,9600,76600,20150,20550,13600,3170,25800,3770,8350,3795,16100,3495,22650,6070,12850,391,6560,50.29042701259081,1.027077867459559
