symbol,name,country,cap_index,shares,currency,initial_date,initial_price,initial_price_USD,initial_MC_USD,share,share_adj
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,2022-12-29,173500,137.5630332054169,5729.376526275729,0.31253148898770544,0.1
253450.KQ,Studio Dragon ,South Korea,Small Cap,28051500,KRW,2022-12-29,86000,68.18686372141701,1912.7438076813291,0.10433817144415235,0.1
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW,2022-12-29,104700,83.01354222828327,1820.4205702324696,0.09930203553377373,0.1
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW,2022-12-29,67800,53.75662046874504,1779.1076083853984,0.09704845673312361,0.1
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW,2022-12-29,76700,60.81316799340332,1419.908415527576,0.07745451696110964,0.1
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800,KRW,2022-12-29,10650,8.44407091433827,645.0831086866893,0.035188607967038384,0.056879609452521816
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,2022-12-29,16950,13.43915511718626,641.4307150106245,0.03498937371725312,0.05655756300135311
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW,2022-12-29,43850,34.767371792838794,632.6827249373632,0.03451218002074751,0.05578621702722792
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW,2022-12-29,9350,7.413339253433129,631.4356189147188,0.03444415169333787,0.05567625460136574
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW,2022-12-29,71100,56.37309314642732,609.6411785227236,0.033255287795822014,0.05375454987675011
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW,2022-12-29,16200,12.844502235894833,341.3272335162221,0.018619043107683742,0.030096214699278225
289220.KQ,GIANTSTEP,South Korea,Small Cap,22121745,KRW,2022-12-29,17450,13.835590371380546,306.06740212013574,0.01669565623353855,0.026987211514782745
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW,2022-12-29,12700,10.069455456534838,248.13655608765976,0.013535589254904109,0.021879212478364326
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW,2022-12-29,2960,2.346896704830167,217.41579727886844,0.011859804036510583,0.019170437842044002
241840.KQ,ASTORY,South Korea,Micro Cap,9539994,KRW,2022-12-29,25350,20.099267387650247,191.74689028257905,0.010459592043557132,0.01690710559018191
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW,2022-12-29,3675,2.9137991183279945,181.82106498366687,0.00991814866906882,0.01603190507897104
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW,2022-12-29,8150,6.461894643366845,180.32627810725953,0.00983660961048882,0.015900103621763615
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW,2022-12-29,3410,2.7036884336050235,157.12593479432937,0.008571055181073569,0.013854434700916353
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300,KRW,2022-12-29,13850,10.981256541181693,135.19354365545018,0.0073746662147944845,0.011920566296147288
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW,2022-12-29,3390,2.687831023437252,108.42145904030953,0.0059142770381184605,0.009559962372973302
200350.KQ,RaemongRaein,South Korea,Micro Cap,6422104,KRW,2022-12-29,21200,16.808854777837684,107.94821350417051,0.005888461989764071,0.009518234383341801
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW,2022-12-29,5700,4.519361897814849,97.0017760299388,0.005291345290024967,0.008553042332819276
389140.KQ,4by4,South Korea,Micro Cap,10522735,KRW,2022-12-29,11200,8.880149693951983,93.44346198978782,0.005097242985846831,0.00823929126696783
003560.KO,IHQ,South Korea,Micro Cap,239696992,KRW,2022-12-29,423,0.3353842250483651,80.39058990834418,0.004385222484406444,0.007088366283460262
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW,2022-12-29,5700,4.519361897814849,63.96117313120422,0.0034890150061562997,0.005639717578770167
