symbol,name,country,cap,shares-dads,currency,OLD DATA,shares,indicies
2330.TW,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,5186400256,TWD,TSM,25931999232,"[kpop_shares - tech100]"
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW,005930.KO,5969780224,"[kpop_shares - tech100]"
6861.TSE,Keyence,Japan,Blue Chip,242526000,JPY,6861.TSE,242526000,"[kpop_shares - tech100]"
6758.TSE,Sony,Japan,Blue Chip,1233980032,JPY,SONY,1233980032,"[kpop_shares - tech100]"
8035.TSE,Tokyo Electron,Japan,Blue Chip,466875008,JPY,8035.TSE,466875008,"[kpop_shares - tech100]"
000660.KO,SK Hynix,South Korea,Blue Chip,708217024,KRW,000660.KO,708217024,"[kpop_shares - tech100]"
7974.TSE,Nintendo,Japan,Blue Chip,1164230016,JPY,7974.TSE,1164230016,"[kpop_shares - tech100]"
2317.TW,Foxconn (Hon Hai Precision Industry),Taiwan,Blue Chip,13861499904,TWD,2317.TW,13861499904,"[kpop_shares - tech100]"
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD,2454.TW,1591800064,"[kpop_shares - tech100]"
6981.TSE,Murata Manufacturing (Murata Seisakusho),Japan,Blue Chip,629724032,JPY,6981.TSE,629724032,"[kpop_shares - tech100]"
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY,6723.TSE,1765200000,"[kpop_shares - tech100]"
2308.TW,Delta Electronics,Taiwan,Blue Chip,2597540096,TWD,2308.TW,2597540096,"[kpop_shares - tech100]"
CPNG,Coupang,South Korea,Blue Chip,1604060032,USD,CPNG,1604060032,"[kpop_shares - tech100]"
6752.TSE,Panasonic,Japan,Blue Chip,2334109952,JPY,6752.TSE,2334109952,"[kpop_shares - tech100]"
7751.TSE,Canon,Japan,Blue Chip,999128000,JPY,7751.TSE,999128000,"[kpop_shares - tech100]"
6857.TSE,Advantest,Japan,Blue Chip,184214000,JPY,6857.TSE,184214000,"[kpop_shares - tech100]"
4543.TSE,Terumo,Japan,Blue Chip,744608000,JPY,4543.TSE,744608000,"[kpop_shares - tech100]"
035420.KO,Naver,South Korea,Blue Chip,150564000,KRW,035420.KO,150564000,"[kpop_shares - tech100]"
2303.TW,United Microelectronics,Taiwan,Blue Chip,2500630016,TWD,UMC,12503100416,"[kpop_shares - tech100]"
4689.TSE,Z Holdings,Japan,Blue Chip,7530570240,JPY,4689.TSE,7530570240,"[kpop_shares - tech100]"
3711.TW,ASE Group,Taiwan,Blue Chip,2150249984,TWD,ASX,4300490240,"[kpop_shares - tech100]"
6146.TSE,Disco Corp.,Japan,Blue Chip,108302000,JPY,6146.TSE,108302000,"[kpop_shares - tech100]"
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,3659.TSE,854155008,"[kpop_shares - tech100]"
035720.KO,Kakao,South Korea,Blue Chip,444983008,KRW,035720.KO,444983008,"[kpop_shares - tech100]"
066570.KO,LG Electronics,South Korea,Blue Chip,162884992,KRW,066570.KO,162884992,"[kpop_shares - tech100]"
7832.TSE,Bandai Namco,Japan,Blue Chip,660049984,JPY,7832.TSE,660049984,"[kpop_shares - tech100]"
2413.TSE,M3 Inc,Japan,Blue Chip,678921984,JPY,2413.TSE,678921984,"[kpop_shares - tech100]"
6920.TSE,Lasertec,Japan,Blue Chip,90180704,JPY,6920.TSE,90180704,"[kpop_shares - tech100]"
6701.TSE,NEC Corp,Japan,Blue Chip,266348000,JPY,6701.TSE,266348000,"[kpop_shares - tech100]"
4716.TSE,Oracle Corp Japan,Japan,Blue Chip,128157000,JPY,4716.TSE,128157000,"[kpop_shares - tech100]"
2395.TW,Advantech,Taiwan,Blue Chip,778486976,TWD,2395.TW,778486976,"[kpop_shares - tech100]"
6963.TSE,Rohm,Japan,Mid Cap,98142600,JPY,6963.TSE,98142600,"[kpop_shares - tech100]"
7701.TSE,Shimadzu,Japan,Mid Cap,294671008,JPY,7701.TSE,294671008,"[kpop_shares - tech100]"
