name,country,currency,symbol,index,shares
HYBE,South Korea,KRW,352820.KO,Mid Cap,41649100
JYP Entertainment,South Korea,KRW,035900.KQ,Mid Cap,33095600
SM Entertainment,South Korea,KRW,041510.KQ,Mid Cap,23348700
Studio Dragon,South Korea,KRW,253450.KQ,Small Cap,28051500
YG Entertainment,South Korea,KRW,122870.KQ,Small Cap,18197600
CJ ENM,South Korea,KRW,035760.KQ,Small Cap,21929200
AfreecaTV,South Korea,KRW,067160.KQ,Small Cap,10814400
CJ CGV,South Korea,KRW,079160.KO,Small Cap,47728500
KEYEAST,South Korea,KRW,054780.KQ,Small Cap,85175600
Cube Entertainment,South Korea,KRW,182360.KQ,Small Cap,26573800
Chorokbaem Media,South Korea,KRW,047820.KQ,Small Cap,76394800
GIANTSTEP,South Korea,KRW,289220.KQ,Small Cap,22121745
Dexter Studios,South Korea,KRW,206560.KQ,Micro Cap,24642500
SM Culture & Contents,South Korea,KRW,048550.KQ,Micro Cap,92639696
Genie Music,South Korea,KRW,043610.KQ,Micro Cap,58115400
Showbox,South Korea,KRW,086980.KQ,Micro Cap,62400000
Next Entertainment World,South Korea,KRW,160550.KQ,Micro Cap,27906100
ASTORY,South Korea,KRW,241840.KQ,Micro Cap,9539994
RaemongRaein,South Korea,KRW,200350.KQ,Micro Cap,6422104
SBS Contents Hub,South Korea,KRW,046140.KQ,Micro Cap,21463600
RBW (RAINBOW BRIDGE WORLD),South Korea,KRW,361570.KQ,Micro Cap,9666193
Samhwa Networks,South Korea,KRW,046390.KQ,Micro Cap,40337900
NHN BUGS,South Korea,KRW,104200.KQ,Micro Cap,14152700
Pan Entertainment,South Korea,KRW,068050.KQ,Micro Cap,13743000
IHQ,South Korea,KRW,003560.KO,Micro Cap,239696992
Daewon Media,South Korea,KRW,048910.KQ,Micro Cap,12311300
four by four,South Korea,KRW,389140.KQ,Micro Cap,10522735
Wysiwyg Studios,South Korea,KRW,299900.KQ,Micro Cap,8867360
Aniplus,South Korea,KRW,310200.KQ,Micro Cap,3050000
Naver,South Korea,KRW,035420.KO,Blue Chip,150564000
Kakao,South Korea,KRW,035720.KO,Blue Chip,437379008
