symbol,name,country,cap_index,shares,currency,initial_date,initial_price
352820.KO,HYBE,South Korea,Mid Cap,41649100,KRW,2022-12-29,173500
035900.KQ,JYP Entertainment,South Korea,Mid Cap,33095600,KRW,2022-12-29,67800
041510.KQ,SM Entertainment,South Korea,Mid Cap,23348700,KRW,2022-12-29,76700
253450.KQ,Studio Dragon ,South Korea,Small Cap,28051500,KRW,2022-12-29,86000
122870.KQ,YG Entertainment,South Korea,Small Cap,18197600,KRW,2022-12-29,43850
035760.KQ,CJ ENM,South Korea,Small Cap,21929200,KRW,2022-12-29,104700
067160.KQ,AfreecaTV,South Korea,Small Cap,10814400,KRW,2022-12-29,71100
079160.KO,CJ CGV,South Korea,Small Cap,47728500,KRW,2022-12-29,16950
054780.KQ,KEYEAST,South Korea,Small Cap,85175600,KRW,2022-12-29,9350
182360.KQ,Cube Entertainment,South Korea,Small Cap,26573800,KRW,2022-12-29,16200
047820.KQ,Chorokbaem Media,South Korea,Small Cap,76394800,KRW,2022-12-29,10650
289220.KQ,GIANTSTEP,South Korea,Small Cap,22121745,KRW,2022-12-29,17450
206560.KQ,Dexter Studios,South Korea,Micro Cap,24642500,KRW,2022-12-29,12700
048550.KQ,SM Culture & Contents,South Korea,Micro Cap,92639696,KRW,2022-12-29,2960
043610.KQ,Genie Music,South Korea,Micro Cap,58115400,KRW,2022-12-29,3410
086980.KQ,Showbox,South Korea,Micro Cap,62400000,KRW,2022-12-29,3675
160550.KQ,Next Entertainment World,South Korea,Micro Cap,27906100,KRW,2022-12-29,8150
241840.KQ,ASTORY,South Korea,Micro Cap,9539994,KRW,2022-12-29,25350
200350.KQ,RaemongRaein,South Korea,Micro Cap,6422104,KRW,2022-12-29,21200
046140.KQ,SBS Contents Hub,South Korea,Micro Cap,21463600,KRW,2022-12-29,5700
361570.KQ,RBW (RAINBOW BRIDGE WORLD),South Korea,Micro Cap,9666193,KRW,2022-12-29,4366.6621
046390.KQ,Samhwa Networks,South Korea,Micro Cap,40337900,KRW,2022-12-29,3390
104200.KQ,NHN BUGS,South Korea,Micro Cap,14152700,KRW,2022-12-29,5700
068050.KQ,Pan Entertainment,South Korea,Micro Cap,13743000,KRW,2022-12-29,5210
003560.KO,IHQ,South Korea,Micro Cap,239696992,KRW,2022-12-29,423
048910.KQ,Daewon Media,South Korea,Micro Cap,12311300,KRW,2022-12-29,13850
389140.KQ,4by4,South Korea,Micro Cap,10522735,KRW,2022-12-29,11200
299900.KQ,Wysiwyg Studios,South Korea,Micro Cap,8867360,KRW,2022-12-29,4312.5
310200.KQ,Aniplus,South Korea,Micro Cap,3050000,KRW,2022-12-29,4740
