symbol,name,country,cap_index,shares,currency,indicies
2330.TW,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,5186400256,TWD,semiconductors-25
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW,semiconductors-25
8035.TSE,Tokyo Electron,Japan,Blue Chip,466875008,JPY,semiconductors-25
000660.KO,SK Hynix,South Korea,Blue Chip,708217024,KRW,semiconductors-25
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD,semiconductors-25
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY,semiconductors-25
6857.TSE,Advantest,Japan,Blue Chip,184214000,JPY,semiconductors-25
2303.TW,United Microelectronics,Taiwan,Blue Chip,2500630016,TWD,semiconductors-25
3711.TW,ASE Group,Taiwan,Blue Chip,2150249984,TWD,semiconductors-25
6146.TSE,Disco Corp.,Japan,Blue Chip,108302000,JPY,semiconductors-25
6920.TSE,Lasertec,Japan,Blue Chip,90180704,JPY,semiconductors-25
6963.TSE,Rohm,Japan,Mid Cap,98142600,JPY,semiconductors-25
3034.TW,Novatek Microelectronics,Taiwan,Mid Cap,608512000,TWD,semiconductors-25
2408.TW,Nanya Technology,Taiwan,Mid Cap,3098040064,TWD,semiconductors-25
3443.TW,Global Unichip Corp.,Taiwan,Mid Cap,134011000,TWD,semiconductors-25
6488.TWO,GlobalWafers,Taiwan,Mid Cap,435236992,TWD,semiconductors-25
2379.TW,Realtek,Taiwan,Mid Cap,512863008,TWD,semiconductors-25
3529.TWO,eMemory Technology,Taiwan,Mid Cap,74622000,TWD,semiconductors-25
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD,semiconductors-25
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD,semiconductors-25
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD,semiconductors-25
5483.TWO,Sino-American Silicon Products,Taiwan,Mid Cap,586222016,TWD,semiconductors-25
6789.TW,VisEra Technologies,Taiwan,Mid Cap,315776992,TWD,semiconductors-25
3105.TWO,WIN Semiconductors,Taiwan,Mid Cap,423940000,TWD,semiconductors-25
3532.TW,Formosa Sumco Technology,Taiwan,Mid Cap,387848000,TWD,semiconductors-25
5344.TSE,Maruwa,Japan,Small Cap,12338000,JPY,semiconductors-25
HIMX,Himax,Taiwan,Small Cap,174400000,USD,semiconductors-25
8150.TW,ChipMOS Technologies,Taiwan,Small Cap,36362000,TWD,semiconductors-25
