id,symbol,name,currency,country,shares,cap_index,indicies
971,000660.KO,SK Hynix,KRW,South Korea,708217024,Blue Chip,"[tech-100,semiconductors-25]"
989,005930.KO,Samsung,KRW,South Korea,5969780224,Blue Chip,"[tech-100,semiconductors-25]"
991,2303.TW,United Microelectronics,TWD,Taiwan,12503100416,Blue Chip,"[tech-100,semiconductors-25,semiconductors-25]"
993,2330.TW,Taiwan Semiconductor (TSMC),TWD,Taiwan,25931999232,Blue Chip,"[tech-100,semiconductors-25,semiconductors-25]"
965,2379.TW,Realtek,TWD,Taiwan,512863008,Mid Cap,"[tech-100,semiconductors-25]"
986,2408.TW,Nanya Technology,TWD,Taiwan,3098040064,Mid Cap,"[tech-100,semiconductors-25]"
978,2454.TW,MediaTek,TWD,Taiwan,1591800064,Blue Chip,"[tech-100,semiconductors-25]"
967,3034.TW,Novatek Microelectronics,TWD,Taiwan,608512000,Mid Cap,"[tech-100,semiconductors-25]"
960,3105.TWO,WIN Semiconductors,TWD,Taiwan,423940000,Mid Cap,"[tech-100,semiconductors-25]"
943,3443.TW,Global Unichip Corp.,TWD,Taiwan,134011000,Mid Cap,"[tech-100,semiconductors-25]"
936,3529.TWO,eMemory Technology,TWD,Taiwan,74622000,Mid Cap,"[tech-100,semiconductors-25]"
959,3532.TW,Formosa Sumco Technology,TWD,Taiwan,387848000,Mid Cap,"[tech-100,semiconductors-25]"
935,3661.TW,Alchip Technologies,TWD,Taiwan,73889296,Mid Cap,"[tech-100,semiconductors-25]"
988,3711.TW,ASE Group,TWD,Taiwan,4300490240,Blue Chip,"[tech-100,semiconductors-25,semiconductors-25]"
223,5344.TSE,Maruwa,JPY,Japan,12338000,Small Cap,"[semiconductors-25,semiconductors-25]"
980,5347.TWO,Vanguard International Semiconductor,TWD,Taiwan,1638979968,Mid Cap,"[tech-100,semiconductors-25]"
966,5483.TWO,Sino-American Silicon Products,TWD,Taiwan,586222016,Mid Cap,"[tech-100,semiconductors-25]"
940,6146.TSE,Disco Corp.,JPY,Japan,108302000,Blue Chip,"[tech-100,semiconductors-25]"
961,6488.TWO,GlobalWafers,TWD,Taiwan,435236992,Mid Cap,"[tech-100,semiconductors-25]"
981,6723.TSE,Renesas Electronics,JPY,Japan,1765200000,Blue Chip,"[tech-100,semiconductors-25]"
987,6770.TW,Powerchip Semiconductor Manufacturing,TWD,Taiwan,4065649920,Mid Cap,"[tech-100,semiconductors-25]"
957,6789.TW,VisEra Technologies,TWD,Taiwan,315776992,Micro Cap,"[tech-100,semiconductors-25]"
950,6857.TSE,Advantest,JPY,Japan,184214000,Blue Chip,"[tech-100,semiconductors-25]"
937,6920.TSE,Lasertec,JPY,Japan,90180704,Blue Chip,"[tech-100,semiconductors-25]"
938,6963.TSE,Rohm,JPY,Japan,98142600,Mid Cap,"[tech-100,semiconductors-25]"
963,8035.TSE,Tokyo Electron,JPY,Japan,466875008,Blue Chip,"[tech-100,semiconductors-25]"
972,8150.TW,ChipMOS Technologies,TWD,Taiwan,727240000,Small Cap,"[tech-100,semiconductors-25,semiconductors-25]"
948,HIMX,Himax,USD,Taiwan,174400000,Small Cap,"[tech-100,semiconductors-25]"
