name,country,symbol,cap
Taiwan Semiconductor (TSMC),Taiwan,TSM,Blue Chip
Samsung,South Korea,005930.KO,Blue Chip
Tokyo Electron,Japan,8035.TSE,Blue Chip
SK Hynix,South Korea,000660.KO,Blue Chip
MediaTek,Taiwan,2454.TW,Blue Chip
Renesas Electronics,Japan,6723.TSE,Blue Chip
Advantest,Japan,6857.TSE,Blue Chip
United Microelectronics,Taiwan,UMC,Blue Chip
ASE Group,Taiwan,ASX,Blue Chip
Disco Corp.,Japan,6146.TSE,Blue Chip
Lasertec,Japan,6920.TSE,Blue Chip
Rohm,Japan,6963.TSE,Mid Cap
Novatek Microelectronics,Taiwan,3034.TW,Mid Cap
Nanya Technology,Taiwan,2408.TW,Mid Cap
Global Unichip Corp.,Taiwan,3443.TW,Mid Cap
GlobalWafers,Taiwan,6488.TWO,Mid Cap
Realtek,Taiwan,2379.TW,Mid Cap
eMemory Technology,Taiwan,3529.TWO,Mid Cap
Vanguard International Semiconductor,Taiwan,5347.TWO,Mid Cap
Alchip Technologies,Taiwan,3661.TW,Mid Cap
Powerchip Semiconductor Manufacturing,Taiwan,6770.TW,Mid Cap
Sino-American Silicon Products,Taiwan,5483.TWO,Mid Cap
VisEra Technologies,Taiwan,6789.TW,Mid Cap
WIN Semiconductors,Taiwan,3105.TWO,Mid Cap
Formosa Sumco Technology,Taiwan,3532.TW,Mid Cap
Maruwa,Japan,5344.TSE,Small Cap
Himax,Taiwan,HIMX,Small Cap
ChipMOS Technologies,Taiwan,IMOS,Small Cap
