symbol,name,country,cap_index,shares,currency
TSM,Taiwan Semiconductor (TSMC),Taiwan,Blue Chip,5186400256,USD
005930.KO,Samsung,South Korea,Blue Chip,5969780224,KRW
8035.TSE,Tokyo Electron,Japan,Blue Chip,466875008,JPY
000660.KO,SK Hynix,South Korea,Blue Chip,708217024,KRW
2454.TW,MediaTek,Taiwan,Blue Chip,1591800064,TWD
6723.TSE,Renesas Electronics,Japan,Blue Chip,1765200000,JPY
6857.TSE,Advantest,Japan,Blue Chip,184214000,JPY
UMC,United Microelectronics,Taiwan,Blue Chip,2500630016,USD
ASX,ASE Group,Taiwan,Blue Chip,2150249984,USD
6146.TSE,Disco Corp.,Japan,Blue Chip,108302000,JPY
6920.TSE,Lasertec,Japan,Blue Chip,90180704,JPY
6963.TSE,Rohm,Japan,Mid Cap,98142600,JPY
3034.TW,Novatek Microelectronics,Taiwan,Mid Cap,608512000,TWD
2408.TW,Nanya Technology,Taiwan,Mid Cap,3098040064,TWD
3443.TW,Global Unichip Corp.,Taiwan,Mid Cap,134011000,TWD
6488.TWO,GlobalWafers,Taiwan,Mid Cap,435236992,TWD
2379.TW,Realtek,Taiwan,Mid Cap,512863008,TWD
3529.TWO,eMemory Technology,Taiwan,Mid Cap,74622000,TWD
5347.TWO,Vanguard International Semiconductor,Taiwan,Mid Cap,1638979968,TWD
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD
6770.TW,Powerchip Semiconductor Manufacturing,Taiwan,Mid Cap,4065649920,TWD
5483.TWO,Sino-American Silicon Products,Taiwan,Mid Cap,586222016,TWD
6789.TW,VisEra Technologies,Taiwan,Mid Cap,315776992,TWD
3105.TWO,WIN Semiconductors,Taiwan,Mid Cap,423940000,TWD
3532.TW,Formosa Sumco Technology,Taiwan,Mid Cap,387848000,TWD
5344.TSE,Maruwa,Japan,Small Cap,12338000,JPY
HIMX,Himax,Taiwan,Small Cap,174400000,USD
IMOS,ChipMOS Technologies,Taiwan,Small Cap,36362000,USD
