symbol,name,country,cap_index,shares,currency,indicies
214150.KQ,Classys,South Korea,Small Cap,64689751,KRW,tech-100
277810.KQ,Rainbow Robotics,South Korea,Small Cap,16218270,KRW,tech-100
039030.KQ,EO Technics,South Korea,Small Cap,12102153,KRW,tech-100
101490.KQ,S&S Tech,South Korea,Small Cap,21451447,KRW,tech-100
137400.KQ,People & Technology,South Korea,Small Cap,22741198,KRW,tech-100
095660.KQ,Neowiz Games,South Korea,Small Cap,22033719,KRW,tech-100
063080.KQ,Com2uS,South Korea,Small Cap,6595192,KRW,tech-100
112040.KQ,Wemade,South Korea,Small Cap,33796962,KRW,tech-100
263750.KQ,Pearl Abyss,South Korea,Small Cap,64247855,KRW,tech-100
053800.KQ,AhnLab,South Korea,Small Cap,10013855,KRW,tech-100
069080.KQ,Webzen,South Korea,Small Cap,34950884,KRW,tech-100
098460.KQ,Koh Young Technology,South Korea,Micro Cap,68654755,KRW,tech-100
4199.TSE,WonderPlanet,Japan,Micro Cap,2541780,JPY,tech-100
3907.TSE,Silicon Studio,Japan,Micro Cap,2948880,JPY,tech-100
4174.TSE,Appirits,Japan,Micro Cap,4101360,JPY,tech-100
3851.TSE,Nippon Ichi Software,Japan,Micro Cap,5040540,JPY,tech-100
9421.TSE,NJ Holdings,Japan,Micro Cap,5292850,JPY,tech-100
4728.TSE,Tose Software,Japan,Micro Cap,7579940,JPY,tech-100
4434.TSE,Serverworks,Japan,Micro Cap,7794960,JPY,tech-100
3912.TSE,Mobile Factory,Japan,Micro Cap,7881340,JPY,tech-100
7060.TSE,geechs,Japan,Micro Cap,10021200,JPY,tech-100
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,tech-100
036570.KO,NCsoft,South Korea,Mid Cap,20307400,KRW,tech-100
3793.TSE,Drecom,Japan,Micro Cap,28492200,JPY,tech-100
3629.TWO,Gravity Co.,South Korea,Small Cap,33076000,TWD,tech-100
2497.TSE,UNITED,Japan,Micro Cap,38081600,JPY,tech-100
4165.TSE,PLAID Inc.,Japan,Micro Cap,39185500,JPY,tech-100
3903.TSE,gumi,Japan,Micro Cap,39249200,JPY,tech-100
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,tech-100
259960.KO,Krafton,South Korea,Mid Cap,46212100,KRW,tech-100
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD,tech-100
3694.TSE,OPTiM,Japan,Small Cap,55052500,JPY,tech-100
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,tech-100
7844.TSE,Marvelous,Japan,Small Cap,60468600,JPY,tech-100
GRRR,Gorilla Technology,Taiwan,Micro Cap,67601504,USD,tech-100
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,tech-100
3661.TW,Alchip Technologies,Taiwan,Mid Cap,73889296,TWD,tech-100
3529.TWO,eMemory Technology,Taiwan,Mid Cap,74622000,TWD,tech-100
