name,country,symbol,cap
Taiwan Semiconductor (TSMC),Taiwan,TSM,Blue Chip
Samsung,South Korea,005930.KO,Blue Chip
Keyence,Japan,6861.TSE,Blue Chip
Sony,Japan,SONY,Blue Chip
Tokyo Electron,Japan,8035.TSE,Blue Chip
SK Hynix,South Korea,000660.KO,Blue Chip
Nintendo,Japan,7974.TSE,Blue Chip
Foxconn (Hon Hai Precision Industry),Taiwan,2317.TW,Blue Chip
MediaTek,Taiwan,2454.TW,Blue Chip
Murata Manufacturing (Murata Seisakusho),Japan,6981.TSE,Blue Chip
Renesas Electronics,Japan,6723.TSE,Blue Chip
Delta Electronics,Taiwan,2308.TW,Blue Chip
Coupang,South Korea,CPNG,Blue Chip
Panasonic,Japan,6752.TSE,Blue Chip
Canon,Japan,7751.TSE,Blue Chip
Advantest,Japan,6857.TSE,Blue Chip
Terumo,Japan,4543.TSE,Blue Chip
Naver,South Korea,035420.KO,Blue Chip
United Microelectronics,Taiwan,UMC,Blue Chip
Z Holdings,Japan,4689.TSE,Blue Chip
ASE Group,Taiwan,ASX,Blue Chip
Disco Corp.,Japan,6146.TSE,Blue Chip
Nexon,Japan,3659.TSE,Blue Chip
Kakao,South Korea,035720.KO,Blue Chip
LG Electronics,South Korea,066570.KO,Blue Chip
Bandai Namco,Japan,7832.TSE,Blue Chip
"M3, Inc",Japan,2413.TSE,Blue Chip
Lasertec,Japan,6920.TSE,Blue Chip
NEC Corp,Japan,6701.TSE,Blue Chip
Oracle Corp Japan,Japan,4716.TSE,Blue Chip
Advantech,Taiwan,2395.TW,Blue Chip
Rohm,Japan,6963.TSE,Mid Cap
Shimadzu,Japan,7701.TSE,Mid Cap
Unimicron,Taiwan,3037.TW,Mid Cap
Novatek Microelectronics,Taiwan,3034.TW,Mid Cap
ASUS,Taiwan,2357.TW,Mid Cap
Nanya Technology,Taiwan,2408.TW,Mid Cap
Rakuten,Japan,4755.TSE,Mid Cap
Krafton,South Korea,259960.KO,Mid Cap
Konami Holdings,Japan,9766.TSE,Mid Cap
Global Unichip Corp.,Taiwan,3443.TW,Mid Cap
Trend Micro,Japan,4704.TSE,Mid Cap
GlobalWafers,Taiwan,6488.TWO,Mid Cap
Wiwynn,Taiwan,6669.TW,Mid Cap
Monotaro,Japan,3064.TSE,Mid Cap
Realtek,Taiwan,2379.TW,Mid Cap
ZOZO,Japan,3092.TSE,Mid Cap
Nan Ya PCB,Taiwan,8046.TW,Mid Cap
eMemory Technology,Taiwan,3529.TWO,Mid Cap
Asahi Intecc,Japan,7747.TSE,Mid Cap
Kakao Pay,South Korea,377300.KO,Mid Cap
momo.com Inc.,Taiwan,8454.TW,Mid Cap
NCsoft,South Korea,036570.KO,Mid Cap
Sega Sammy Holdings,Japan,6460.TSE,Mid Cap
Vanguard International Semiconductor,Taiwan,5347.TWO,Mid Cap
Nikon,Japan,NINOY,Mid Cap
Alchip Technologies,Taiwan,3661.TW,Mid Cap
Powerchip Semiconductor Manufacturing,Taiwan,6770.TW,Mid Cap
CyberAgent,Japan,4751.TSE,Mid Cap
Mercari,Japan,4385.TSE,Mid Cap
Acer,Taiwan,2353.TW,Mid Cap
Sino-American Silicon Products,Taiwan,5483.TWO,Mid Cap
VisEra Technologies,Taiwan,6789.TW,Micro Cap
WIN Semiconductors,Taiwan,3105.TWO,Mid Cap
Formosa Sumco Technology,Taiwan,3532.TW,Mid Cap
Classys,South Korea,214150.KO,Small Cap
Rainbow Robotics,South Korea,277810.KO,Small Cap
DeNA,Japan,2432.TSE,Small Cap
Mixi,Japan,2121.TSE,Small Cap
GungHo Online Entertainment,Japan,3765.TSE,Small Cap
Himax,Taiwan,HIMX,Small Cap
EO Technics,South Korea,039030.KO,Small Cap
ChipMOS Technologies,Taiwan,IMOS,Small Cap
S&S Tech,South Korea,101490.KO,Small Cap
Gree,Japan,3632.TSE,Small Cap
People & Technology,South Korea,137400.KO,Small Cap
Neowiz Games,South Korea,095660.KO,Small Cap
Com2uS,South Korea,078340.KO,Small Cap
COLOPL,Japan,3668.TSE,Small Cap
Perfect Corp.,Taiwan,PERF,Small Cap
Wemade,South Korea,112040.KO,Small Cap
Pearl Abyss,South Korea,263750.KO,Small Cap
Gravity Co.,South Korea,GRVY,Small Cap
AhnLab,South Korea,053800.KO,Small Cap
OPTiM,Japan,3694.TSE,Small Cap
Webzen,South Korea,069080.KO,Small Cap
Marvelous,Japan,7844.TSE,Small Cap
"PLAID,Inc.",Japan,4165.TSE,Micro Cap
UNITED,Japan,2497.TSE,Micro Cap
gumi,Japan,3903.TSE,Micro Cap
Serverworks,Japan,4434.TSE,Micro Cap
SYLA Technologies,Japan,SYT,Micro Cap
Drecom,Japan,3793.TSE,Micro Cap
Koh Young Technology,South Korea,098460.KO,Micro Cap
Userjoy Technology,Taiwan,3546.TWO,Micro Cap
Gorilla Technology,Taiwan,GRRR,Micro Cap
KLab,Japan,3656.TSE,Micro Cap
geechs,Japan,7060.TSE,Micro Cap
enish,Japan,3667.TSE,Micro Cap
Mobile Factory,Japan,3912.TSE,Micro Cap
Nippon Ichi Software,Japan,3851.TSE,Micro Cap
Tose Software,Japan,4728.TSE,Micro Cap
Appirits,Japan,4174.TSE,Micro Cap
Silicon Studio,Japan,3907.TSE,Micro Cap
NJ Holdings,Japan,9421.TSE,Micro Cap
WonderPlanet,Japan,4199.TSE,Micro Cap
