symbol,name,country,cap,shares-old,currency,shares,indicies
036570.KO,NCsoft,South Korea,Mid Cap,20307400,KRW,20307400,"[video-new]"
069080.KO,Webzen,South Korea,Small Cap,34950884,KRW,0,"[video-new]"
078340.KO,Com2uS,South Korea,Small Cap,6595192,KRW,0,"[video-new]"
095660.KO,Neowiz Games,South Korea,Small Cap,8856866,KRW,0,"[video-new]"
112040.KO,Wemade,South Korea,Small Cap,33796962,KRW,0,"[video-new]"
181710.KO,NHN Corp,South Korea,Small Cap,33705800,KRW,33705800,"[video-new]"
192080.KO,DoubleUGames,South Korea,Small Cap,16525700,KRW,16525700,"[video-new]"
2121.TSE,Mixi,Japan,Small Cap,72973000,JPY,72973000,"[video-new]"
2138.TSE,CROOZ,Japan,Micro Cap,11122400,JPY,11122400,"[video-new]"
2432.TSE,DeNA,Japan,Small Cap,111340000,JPY,111340000,"[video-new]"
2497.TSE,UNITED,Japan,Micro Cap,38081600,JPY,38081600,"[video-new]"
251270.KO,Netmarble,South Korea,Mid Cap,81934600,KRW,81934600,"[video-new]"
259960.KO,Krafton,South Korea,Mid Cap,46212100,KRW,46212100,"[video-new]"
263750.KO,Pearl Abyss,South Korea,Small Cap,64247855,KRW,0,"[video-new]"
2706.TSE,Broccoli,Japan,Micro Cap,8747270,JPY,8747270,"[video-new]"
3064.TWO,Astro Corporation,Taiwan,Micro Cap,43372000,TWD,0,"[video-new]"
3083.TWO,Chinese Gamer International,Taiwan,Micro Cap,86433000,TWD,86433000,"[video-new]"
3086.TWO,Wayi International Digital Entertainment,Taiwan,Micro Cap,22274000,TWD,22274000,"[video-new]"
3293.TWO,International Games System,Taiwan,Mid Cap,140900992,TWD,140900992,"[video-new]"
3546.TWO,Userjoy Technology,Taiwan,Micro Cap,48177000,TWD,48177000,"[video-new]"
3624.TSE,Axel Mark,Japan,Micro Cap,10646300,JPY,10646300,"[video-new]"
3632.TSE,Gree,Japan,Small Cap,173364992,JPY,173364992,"[video-new]"
3635.TSE,Koei Tecmo,Japan,Mid Cap,315369984,JPY,315369984,"[video-new]"
3639.TSE,Voltage,Japan,Micro Cap,6422090,JPY,6422090,"[video-new]"
3656.TSE,KLab,Japan,Micro Cap,40450700,JPY,40450700,"[video-new]"
3659.TSE,Nexon,Japan,Blue Chip,854155008,JPY,854155008,"[video-new]"
3662.TSE,Ateam,Japan,Micro Cap,18533000,JPY,18533000,"[video-new]"
3664.TSE,Mobcast,Japan,Micro Cap,44638400,JPY,44638400,"[video-new]"
3667.TSE,enish,Japan,Micro Cap,17243500,JPY,17243500,"[video-new]"
3668.TSE,COLOPL,Japan,Small Cap,128276000,JPY,128276000,"[video-new]"
3672.TSE,AltPlus,Japan,Micro Cap,17440200,JPY,17440200,"[video-new]"
3687.TWO,MacroWell OMG Digital Entertainment,Taiwan,Micro Cap,30060000,TWD,30060000,"[video-new]"
3723.TSE,Nihon Falcom,Japan,Micro Cap,10279800,JPY,10279800,"[video-new]"
3758.TSE,Aeria,Japan,Micro Cap,22162400,JPY,22162400,"[video-new]"
3760.TSE,CAVE Interactive,Japan,Micro Cap,6466970,JPY,6466970,"[video-new]"
3765.TSE,GungHo Online Entertainment,Japan,Small Cap,59896300,JPY,59896300,"[video-new]"
