name,country,symbol,cap
Sony,Japan,SONY,Blue Chip
Nintendo,Japan,7974.TSE,Blue Chip
Nexon,Japan,3659.TSE,Blue Chip
Bandai Namco,Japan,7832.TSE,Blue Chip
Capcom,Japan,9697.TSE,Mid Cap
Krafton,South Korea,259960.KO,Mid Cap
Konami Holdings,Japan,9766.TSE,Mid Cap
Square Enix,Japan,9684.TSE,Mid Cap
Koei Tecmo,Japan,3635.TSE,Mid Cap
NCsoft,South Korea,036570.KO,Mid Cap
Sega Sammy Holdings,Japan,6460.TSE,Mid Cap
CyberAgent,Japan,4751.TSE,Mid Cap
Kadokawa,Japan,9468.TSE,Mid Cap
Netmarble,South Korea,251270.KO,Mid Cap
International Games System,Taiwan,3293.TWO,Mid Cap
DeNA,Japan,2432.TSE,Small Cap
Mixi,Japan,2121.TSE,Small Cap
GungHo Online Entertainment,Japan,3765.TSE,Small Cap
Gree,Japan,3632.TSE,Small Cap
Neowiz Games,South Korea,095660.KO,Small Cap
Com2uS,South Korea,078340.KO,Small Cap
NHN Corp,South Korea,181710.KO,Small Cap
COLOPL,Japan,3668.TSE,Small Cap
DoubleUGames,South Korea,192080.KO,Small Cap
Wemade,South Korea,112040.KO,Small Cap
Pearl Abyss,South Korea,263750.KO,Small Cap
Gamania Digital,Taiwan,6180.TWO,Small Cap
Gravity Co.,South Korea,GRVY,Small Cap
Bushiroad,Japan,7803.TSE,Small Cap
Soft-World International,Taiwan,5478.TWO,Small Cap
Webzen,South Korea,069080.KO,Small Cap
Happinet,Japan,7552.TSE,Small Cap
Marvelous,Japan,7844.TSE,Small Cap
Sun Corp,Japan,6736.TSE,Small Cap
Softstar Entertainment,Taiwan,6111.TWO,Micro Cap
UNITED,Japan,2497.TSE,Micro Cap
FuRyu,Japan,6238.TSE,Micro Cap
Akatsuki Inc,Japan,3932.TSE,Micro Cap
gumi,Japan,3903.TSE,Micro Cap
Bank of Innovation,Japan,4393.TSE,Micro Cap
X-Legend Entertainment,Taiwan,4994.TW,Micro Cap
Yuke's,Japan,4334.TSE,Micro Cap
Drecom,Japan,3793.TSE,Micro Cap
Userjoy Technology,Taiwan,3546.TWO,Micro Cap
Chinese Gamer International,Taiwan,3083.TWO,Micro Cap
Aiming Inc,Japan,3911.TSE,Micro Cap
Kayak Inc,Japan,3904.TSE,Micro Cap
MacroWell OMG Digital Entertainment,Taiwan,3687.TWO,Micro Cap
KLab,Japan,3656.TSE,Micro Cap
CAVE Interactive,Japan,3760.TSE,Micro Cap
Broccoli,Japan,2706.TSE,Micro Cap
Nihon Falcom,Japan,3723.TSE,Micro Cap
Ateam,Japan,3662.TSE,Micro Cap
Gamesparcs,Taiwan,6542.TWO,Micro Cap
CROOZ,Japan,2138.TSE,Micro Cap
Imagineer,Japan,4644.TSE,Micro Cap
Gala Incorporated,Japan,4777.TSE,Micro Cap
Aeria,Japan,3758.TSE,Micro Cap
geechs,Japan,7060.TSE,Micro Cap
enish,Japan,3667.TSE,Micro Cap
Wayi International Digital Entertainment,Taiwan,3086.TWO,Micro Cap
Mobile Factory,Japan,3912.TSE,Micro Cap
coly,Japan,4175.TSE,Micro Cap
Tose Software,Japan,4728.TSE,Micro Cap
Nippon Ichi Software,Japan,3851.TSE,Micro Cap
CyberStep,Japan,3810.TSE,Micro Cap
Appirits,Japan,4174.TSE,Micro Cap
Silicon Studio,Japan,3907.TSE,Micro Cap
TENDA,Japan,4198.TSE,Micro Cap
AltPlus,Japan,3672.TSE,Micro Cap
NJ Holdings,Japan,9421.TSE,Micro Cap
Mobcast,Japan,3664.TSE,Micro Cap
Fun Yours Technology,Taiwan,6482.TWO,Micro Cap
Edia,Japan,3935.TSE,Micro Cap
Axel Mark,Japan,3624.TSE,Micro Cap
Netmarble Joybomb,Taiwan,6468.TWO,Micro Cap
WonderPlanet,Japan,4199.TSE,Micro Cap
Mynet,Japan,3928.TSE,Micro Cap
Astro Corporation,Taiwan,3064.TWO,Micro Cap
GAME HOURS,Taiwan,6626.TWO,Micro Cap
InterServ International,Taiwan,6169.TWO,Micro Cap
GigaMedia,Taiwan,GIGM,Micro Cap
Voltage,Japan,3639.TSE,Micro Cap
